"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
FL,12,"=""32003""","1,134",0,"1,134","2,277,449",313,"253,065",577,"758,691",113,96,98,"1,093","4,353,024",41,"30,082","1,006",0,319,697,410,27,606,421,0,300,114,188,206,100,113,103,115,107,80,0
FL,12,"=""32004""",32,0,32,"41,254",7,"4,917",8,"10,083",0,0,0,31,"69,875",0,344,25,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,12,"=""32006""",22,0,22,"27,492",7,"5,132",5,"5,596",0,0,0,21,"49,667",0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,12,"=""32007""",41,0,41,"96,369",7,"4,867",9,"23,679",0,0,0,41,"156,907",0,0,35,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,12,"=""32008""",514,0,514,"1,211,182",135,"96,954",288,"353,418",0,0,0,491,"2,005,944",23,"14,700",421,0,182,313,196,0,225,230,0,149,66,92,105,61,50,45,39,33,23,0
FL,12,"=""32009""",190,0,190,"435,202",63,"47,621",112,"145,112",0,0,0,184,"811,957",0,"1,716",173,0,69,107,80,0,86,90,0,39,0,26,37,21,22,0,0,22,0,0
FL,12,"=""32011""","1,270",0,"1,270","3,018,635",383,"300,459",762,"976,990",71,43,36,"1,231","5,445,096",39,"44,770","1,137",0,491,667,589,0,635,518,0,292,109,200,231,165,124,132,136,81,83,0
FL,12,"=""32024""","1,777",0,"1,777","4,501,278",486,"376,728","1,119","1,431,913",107,54,50,"1,736","7,764,937",41,"31,454","1,578",0,650,"1,045",726,0,839,774,0,422,131,268,394,236,193,169,153,116,110,0
FL,12,"=""32025""","2,174",24,"2,174","5,789,051",569,"399,806","1,424","1,839,113",169,96,59,"2,134","9,857,131",40,"34,209","1,954",0,930,"1,288",882,0,921,"1,066",0,380,169,335,460,352,255,197,179,146,78,0
FL,12,"=""32033""",333,0,333,"750,649",75,"54,980",186,"248,052",0,0,0,319,"1,272,582",0,"10,765",282,0,110,185,134,0,173,137,0,82,40,54,76,48,24,30,0,0,25,0
FL,12,"=""32034""","1,881",21,"1,881","4,114,001",456,"343,057",996,"1,203,602",104,75,85,"1,785","7,062,384",96,"68,217","1,596",0,640,"1,125",685,71,932,724,0,447,203,332,404,254,195,162,131,105,89,0
FL,12,"=""32035""",73,0,73,"142,116",9,"10,524",27,"33,138",0,0,0,68,"246,754",0,"5,077",60,0,0,44,21,0,41,24,0,25,0,0,0,0,0,0,0,0,0,0
FL,12,"=""32038""",937,0,937,"2,224,465",245,"175,714",557,"710,910",39,27,25,899,"3,857,437",38,"37,275",816,0,344,617,315,0,384,449,0,217,85,183,208,106,84,88,80,57,40,0
