"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
GA,13,"=""30002""",529,24,529,"1,311,070",97,"58,695",313,"399,233",33,43,0,500,"2,130,862",29,"16,284",464,0,271,233,281,0,312,177,0,161,56,98,113,80,74,52,33,0,0,0
GA,13,"=""30003""",73,0,73,"155,541",9,"10,790",38,"46,528",0,0,0,64,"224,325",0,"8,971",47,0,0,29,40,0,58,0,0,35,0,0,0,0,0,0,0,0,0,0
GA,13,"=""30004""","1,940",38,"1,940","4,324,778",430,"333,128","1,011","1,341,891",128,143,130,"1,788","6,801,286",152,"165,712","1,579",0,613,923,987,28,"1,273",518,0,771,201,354,398,215,191,169,166,150,90,0
GA,13,"=""30005""",946,35,946,"2,012,310",195,"139,298",448,"558,200",58,69,72,861,"3,106,218",85,"107,701",758,0,230,432,502,0,626,242,0,377,89,165,215,112,71,109,86,52,45,0
GA,13,"=""30006""",51,0,51,"101,418",9,"8,189",26,"31,261",0,0,0,47,"164,026",0,"1,469",44,0,0,25,0,0,34,0,0,25,0,0,0,0,0,0,0,0,0,0
GA,13,"=""30008""","3,918",103,"3,918","11,457,775",773,"501,578","2,649","3,662,541",314,253,149,"3,755","16,862,412",163,"135,848","3,474",0,"1,955","1,500","2,372",44,"2,604","1,142",0,"1,604",242,656,962,653,448,367,275,189,123,0
GA,13,"=""30009""",711,25,711,"1,543,161",159,"118,391",371,"455,953",62,51,56,654,"2,388,527",57,"44,928",581,0,223,334,364,0,478,186,0,284,78,124,152,79,64,74,64,42,34,0
GA,13,"=""30010""",96,0,96,"241,130",28,"16,226",55,"63,574",0,0,0,92,"380,046",0,"2,325",85,0,40,52,43,0,64,27,0,36,0,0,0,0,0,0,0,0,0,0
GA,13,"=""30011""","1,557",0,"1,557","4,106,454",430,"320,573","1,009","1,376,771",98,90,75,"1,498","6,672,760",59,"91,399","1,392",0,694,809,736,0,922,531,0,465,115,206,306,214,168,170,153,106,112,0
GA,13,"=""30012""","3,701",71,"3,701","10,916,416",759,"530,176","2,539","3,431,259",245,224,144,"3,608","16,650,499",93,"72,337","3,356",0,"1,987","1,543","2,112",45,"2,287","1,260",0,"1,271",225,583,924,618,404,320,287,195,132,0
GA,13,"=""30013""","3,554",52,"3,554","10,188,119",719,"492,238","2,315","3,104,974",297,320,188,"3,469","15,726,503",85,"79,173","3,297",0,"1,964","1,643","1,878",33,"2,254","1,139",0,"1,345",209,542,852,591,392,341,279,205,140,0
GA,13,"=""30014""","4,225",76,"4,225","12,129,517",885,"609,100","2,760","3,574,924",281,200,122,"4,125","18,223,156",100,"98,959","3,900",0,"2,510","2,004","2,209",0,"2,472","1,525",0,"1,469",277,682,"1,140",631,460,354,310,204,156,0
GA,13,"=""30015""",163,0,163,"428,523",29,"23,024",96,"122,361",0,0,0,161,"669,627",0,455,135,0,76,83,78,0,106,47,0,58,0,31,41,0,22,0,0,0,0,0
GA,13,"=""30016""","7,247",85,"7,247","20,969,297","1,626","1,182,854","4,889","6,535,476",676,549,387,"7,090","32,822,109",156,"123,530","6,807",0,"4,147","3,529","3,670",47,"4,612","2,348",0,"2,758",407,"1,011","1,653","1,157",862,669,670,453,346,0
GA,13,"=""30017""","1,634",28,"1,634","4,113,981",416,"310,595","1,039","1,394,152",148,139,124,"1,531","6,704,897",103,"110,479","1,384",0,611,740,878,0,"1,164",410,0,683,122,224,306,218,181,176,144,131,125,0
GA,13,"=""30018""",25,0,25,"66,695",6,"3,788",9,"21,852",0,0,0,24,"97,385",0,422,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13,"=""30019""","2,727",34,"2,727","6,781,788",730,"527,580","1,702","2,308,149",215,223,180,"2,577","10,795,228",150,"151,673","2,341",0,912,"1,279","1,429",0,"1,874",710,0,"1,126",220,385,530,348,264,279,247,231,211,0
GA,13,"=""30021""","5,913",630,"5,913","18,664,252",787,"428,160","3,993","6,159,652",147,470,114,"5,705","30,847,499",208,"166,808","5,097",0,"2,993","1,054","4,790",69,"3,618","2,014",0,"1,878",400,908,"1,295","1,056","1,116",554,300,153,126,0
GA,13,"=""30022""","2,720",64,"2,720","6,072,921",617,"475,598","1,414","1,775,539",201,212,187,"2,488","9,257,130",231,"230,036","2,250",0,788,"1,283","1,404",31,"1,850",679,0,"1,185",267,446,549,349,249,273,219,217,145,0
GA,13,"=""30023""",58,0,58,"148,134",9,"9,077",28,"39,178",0,0,0,53,"206,334",0,"9,774",46,0,0,41,0,0,41,0,0,27,0,0,0,0,0,0,0,0,0,0
GA,13,"=""30024""","3,271",63,"3,271","7,588,510",728,"537,951","1,747","2,338,833",170,267,199,"2,940","11,144,161",329,"382,633","2,602",0,706,"1,261","1,966",44,"2,441",658,0,"1,558",324,469,615,416,322,330,286,258,236,0
GA,13,"=""30025""",923,0,923,"2,561,600",228,"167,041",601,"765,894",60,39,27,899,"3,895,814",24,"23,104",850,0,548,434,485,0,602,284,0,331,48,137,220,133,79,108,87,57,49,0
GA,13,"=""30028""","1,278",0,"1,278","3,015,789",363,"296,865",749,"1,000,522",72,54,55,"1,217","4,832,621",61,"67,854","1,094",0,434,593,675,0,784,410,0,445,105,202,241,144,134,126,122,87,111,0
GA,13,"=""30030""","1,305",0,"1,305","2,863,304",225,"163,913",627,"789,855",96,95,108,"1,235","4,489,841",70,"47,969","1,128",0,538,651,599,55,776,437,0,470,141,278,332,158,106,105,83,72,30,0
GA,13,"=""30031""",118,0,118,"260,834",9,"8,108",52,"65,857",0,0,0,108,"375,799",0,"3,587",95,0,40,54,53,0,85,26,0,55,0,21,31,0,0,0,0,0,0,0
GA,13,"=""30032""","8,391",135,"8,391","25,119,981","1,230","750,484","5,355","6,822,180",483,444,244,"8,255","36,302,358",135,"80,285","7,880",39,"5,452","3,302","4,946",140,"5,095","2,821",0,"2,827",543,"1,649","2,550","1,464",840,574,439,243,86,0
GA,13,"=""30033""","1,543",83,"1,543","3,151,464",255,"202,260",686,"904,175",73,121,131,"1,421","5,196,152",121,"75,577","1,272",0,556,670,847,26,930,492,0,519,198,304,353,176,160,108,110,80,54,0
GA,13,"=""30034""","7,802",107,"7,802","23,043,084","1,303","840,348","5,078","6,493,931",668,599,374,"7,680","34,585,390",121,"88,276","7,379",0,"4,967","3,381","4,318",97,"4,955","2,529",0,"2,926",443,"1,388","2,167","1,290",870,668,489,327,157,0
GA,13,"=""30035""","4,065",72,"4,065","11,712,546",677,"421,772","2,665","3,403,378",351,321,152,"4,000","17,743,866",65,"46,516","3,802",0,"2,583","1,685","2,332",46,"2,558","1,319",0,"1,458",242,733,"1,121",682,423,352,270,171,71,0
GA,13,"=""30036""",84,0,84,"165,299",9,"9,525",33,"43,314",0,0,0,81,"259,763",0,960,76,0,29,43,34,0,58,0,0,33,0,0,24,0,0,0,0,0,0,0
GA,13,"=""30037""",77,0,77,"209,168",9,"8,715",44,"52,537",0,0,0,73,"303,405",0,"6,254",67,0,36,32,41,0,42,31,0,26,0,0,25,0,0,0,0,0,0,0
GA,13,"=""30038""","6,211",91,"6,211","17,994,269","1,110","714,827","4,150","5,335,276",661,559,311,"6,101","27,746,944",110,"80,915","5,853",0,"3,766","2,737","3,394",75,"4,106","1,885",0,"2,435",352,"1,005","1,600","1,046",699,580,492,300,136,0
GA,13,"=""30039""","5,667",87,"5,667","15,634,890","1,291","879,028","3,718","5,052,007",498,577,343,"5,456","25,124,606",211,"170,408","5,071",0,"2,732","2,428","3,178",59,"3,966","1,486",0,"2,359",327,804,"1,213",901,618,609,499,388,295,0
GA,13,"=""30040""","2,662",52,"2,662","6,249,218",671,"507,374","1,509","2,102,324",174,141,138,"2,481","9,744,874",180,"184,955","2,224",0,826,"1,200","1,442",0,"1,761",735,0,"1,058",222,432,529,343,280,241,208,206,188,0
GA,13,"=""30041""","2,173",46,"2,173","4,694,023",565,"431,219","1,156","1,511,757",131,103,123,"2,020","7,619,337",153,"156,950","1,754",0,672,"1,033","1,123",0,"1,376",630,0,803,209,381,418,248,206,206,173,168,155,0
GA,13,"=""30042""",103,0,103,"266,332",25,"16,316",60,"83,777",0,0,0,95,"406,863",0,"5,345",84,0,42,52,48,0,75,26,0,48,0,0,0,22,0,0,0,0,0,0
GA,13,"=""30043""","7,357",159,"7,357","18,670,586","1,702","1,228,774","4,390","5,938,823",509,647,418,"6,771","28,492,211",583,"623,022","6,145",0,"2,346","3,043","4,249",65,"5,171","1,833",0,"3,317",493,"1,059","1,524","1,072",827,727,681,512,437,25
GA,13,"=""30044""","11,508",317,"11,508","31,878,499","2,573","1,761,300","7,427","10,214,884",817,881,520,"10,619","46,339,179",884,"909,683","9,630",0,"4,073","4,041","7,360",102,"8,238","2,814",0,"5,436",677,"1,675","2,565","1,916","1,350","1,190",955,641,504,35
