"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ID,16,"=""83201""","3,289",29,"3,289","7,519,001",851,"679,853","1,933","2,649,743",176,228,348,"3,209","12,562,658",80,"69,054","2,889",0,"1,097","1,838","1,342",109,"1,682","1,362",0,613,322,544,651,419,328,253,256,248,245,23
ID,16,"=""83202""","1,786",0,"1,786","4,290,562",497,"391,792","1,095","1,605,729",112,100,159,"1,745","7,252,209",41,"28,385","1,543",0,655,895,789,102,996,663,0,324,181,275,317,225,177,181,156,120,139,0
ID,16,"=""83203""",195,0,195,"458,628",78,"64,718",123,"163,531",0,0,0,192,"818,723",0,961,162,0,106,36,104,55,168,22,0,0,0,31,21,0,21,27,28,0,0,0
ID,16,"=""83204""","1,591",23,"1,591","3,546,345",352,"274,608",874,"1,180,345",55,94,140,"1,536","5,779,698",55,"41,231","1,348",0,565,864,651,76,792,640,0,284,187,282,373,172,155,123,108,93,91,0
ID,16,"=""83205""",38,0,38,"67,967",2,"1,478",9,"19,101",0,0,0,35,"100,643",0,"1,146",32,0,0,0,22,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,16,"=""83206""",40,0,40,"78,374",9,"8,240",9,"22,947",0,0,0,39,"118,961",0,276,31,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,16,"=""83210""",282,0,282,"757,104",108,"96,157",195,"285,788",0,0,0,279,"1,248,688",0,"2,424",239,0,44,70,205,0,126,146,0,43,0,29,50,40,0,31,30,34,33,0
ID,16,"=""83211""",638,25,638,"1,569,143",232,"192,357",420,"606,800",0,28,29,617,"2,702,898",21,"12,728",552,0,183,216,407,0,295,316,0,93,37,95,109,52,61,73,73,52,79,0
ID,16,"=""83213""",129,0,129,"282,737",25,"15,027",66,"89,074",0,0,0,122,"433,846",0,"2,960",103,0,41,54,70,0,58,54,0,29,0,29,24,0,0,0,0,0,0,0
ID,16,"=""83214""",36,0,36,"85,297",9,"10,202",23,"57,092",0,0,0,35,"182,024",0,452,29,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,16,"=""83217""",43,0,43,"91,951",9,"6,655",23,"48,277",0,0,0,36,"143,726",0,"9,409",35,0,0,0,27,0,32,0,0,21,0,0,0,0,0,0,0,0,0,0
ID,16,"=""83218""",25,0,25,"64,079",9,"8,013",9,"31,153",0,0,0,24,"120,403",0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,16,"=""83221""","2,281",27,"2,281","5,611,057",767,"587,600","1,476","2,214,166",97,103,152,"2,195","9,511,180",86,"74,651","1,965",0,818,974,"1,184",123,"1,285",886,0,463,195,307,347,294,250,227,221,190,229,21
ID,16,"=""83226""",160,0,160,"334,940",25,"16,360",78,"98,527",0,0,0,149,"489,213",0,"9,853",126,0,26,66,94,0,101,41,0,54,22,33,30,25,0,0,0,0,0,0
