"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IN,18,"=""46001""",962,0,962,"2,085,526",244,"192,681",525,"649,649",24,40,63,935,"3,928,947",27,"20,560",848,0,442,504,451,0,423,441,0,170,116,168,198,112,91,65,84,63,62,0
IN,18,"=""46011""","1,347",0,"1,347","3,268,880",370,"296,447",805,"1,044,996",55,48,63,"1,316","5,730,758",31,"25,468","1,184",0,577,826,503,0,621,593,0,252,134,204,288,168,138,136,96,92,88,0
IN,18,"=""46012""","1,714",0,"1,714","3,873,093",424,"321,460",967,"1,189,224",74,75,97,"1,670","6,784,274",44,"33,911","1,505",0,735,998,692,24,788,752,0,287,196,290,377,218,159,146,145,86,94,0
IN,18,"=""46013""","1,950",0,"1,950","4,493,352",492,"346,864","1,137","1,366,402",92,84,118,"1,906","7,834,845",43,"31,951","1,734",0,885,"1,209",714,27,869,884,0,274,200,386,404,241,196,183,158,95,83,0
IN,18,"=""46016""","2,860",53,"2,860","7,471,315",507,"328,756","1,761","2,184,249",58,46,71,"2,834","11,821,228",26,"21,046","2,578",0,"1,551","1,646","1,160",54,"1,172","1,302",0,429,338,607,746,408,257,214,144,86,59,0
IN,18,"=""46017""",582,0,582,"1,253,825",152,"128,248",301,"360,671",0,0,33,560,"2,275,523",22,"18,986",510,0,245,367,210,0,261,263,0,103,66,98,130,67,46,59,49,40,25,0
IN,18,"=""46018""",51,0,51,"50,837",4,"2,663",9,"13,052",0,0,0,50,"80,341",0,70,0,0,0,40,0,0,0,22,0,0,32,0,0,0,0,0,0,0,0,0
IN,18,"=""46030""",232,0,232,"543,837",65,"56,928",132,"180,460",0,0,0,220,"960,878",0,"6,301",199,0,79,132,97,0,107,104,0,64,0,33,57,28,23,21,0,0,0,0
IN,18,"=""46031""",135,0,135,"331,867",31,"24,590",81,"113,993",0,0,0,127,"585,847",0,"9,000",113,0,51,55,80,0,69,56,0,38,0,22,29,0,0,0,0,0,0,0
IN,18,"=""46032""","1,223",24,"1,223","2,304,233",333,"248,213",551,"681,926",84,91,115,"1,133","3,999,920",90,"111,337",957,0,321,744,459,0,737,372,0,389,151,222,222,114,116,123,112,94,66,0
IN,18,"=""46033""",631,0,631,"1,145,021",153,"115,928",269,"349,737",46,54,69,587,"2,092,339",44,"57,955",498,0,133,401,217,0,384,180,0,202,103,108,114,43,44,67,64,37,50,0
IN,18,"=""46034""",373,0,373,"837,337",122,"97,431",223,"287,271",25,0,38,355,"1,540,136",0,"25,952",322,0,135,209,157,0,189,152,0,97,38,58,61,48,33,33,41,23,36,0
IN,18,"=""46035""",88,0,88,"222,072",29,"27,049",57,"80,776",0,0,0,85,"411,577",0,"9,544",76,0,41,48,39,0,43,39,0,0,0,0,0,0,0,0,0,0,0,0
IN,18,"=""46036""","1,152",0,"1,152","2,668,088",295,"232,317",663,"825,619",0,32,52,"1,128","4,821,368",24,"13,804",994,0,523,598,535,0,496,524,0,175,148,207,223,135,123,102,90,46,76,0
IN,18,"=""46037""","1,118",0,"1,118","2,358,506",335,"266,955",597,"800,201",98,93,122,"1,027","4,072,194",90,"110,119",905,0,294,629,475,0,725,329,0,418,119,163,184,129,111,108,119,101,79,0
IN,18,"=""46038""","1,525",22,"1,525","3,097,922",479,"397,581",796,"1,060,257",132,123,181,"1,418","5,516,365",107,"103,249","1,252",0,371,944,559,22,928,484,0,474,143,224,259,150,144,154,158,124,161,0
IN,18,"=""46039""",39,0,39,"89,571",9,"8,894",22,"29,939",0,0,0,38,"161,565",0,428,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,18,"=""46040""",552,0,552,"1,204,015",175,"136,935",319,"367,721",29,24,32,531,"2,180,692",21,"17,022",476,0,220,320,223,0,286,226,0,120,51,94,99,67,42,52,67,38,41,0
IN,18,"=""46041""","2,148",49,"2,148","5,074,948",721,"544,177","1,320","1,744,007",89,55,72,"2,118","9,521,893",30,"25,950","1,870",0,928,970,"1,120",58,908,"1,044",0,260,228,331,357,274,238,224,192,167,130,0
IN,18,"=""46044""",201,0,201,"409,775",76,"65,249",107,"123,167",0,0,0,195,"795,218",0,"7,196",174,0,68,117,81,0,116,72,0,44,0,31,31,0,0,0,0,24,23,0
IN,18,"=""46048""",199,0,199,"445,918",69,"58,065",125,"153,542",0,0,0,194,"852,916",0,"3,973",180,0,79,127,71,0,86,99,0,31,0,26,34,0,31,25,0,0,0,0
IN,18,"=""46049""",57,0,57,"123,866",10,"11,566",31,"37,020",0,0,0,53,"207,810",0,"2,431",44,0,0,24,32,0,34,21,0,0,0,0,0,0,0,0,0,0,0,0
IN,18,"=""46050""",121,0,121,"309,426",33,"25,925",81,"107,853",0,0,0,119,"553,001",0,"2,692",107,0,51,60,60,0,68,46,0,30,0,0,27,0,0,0,0,0,0,0
