"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
LA,22,"=""70001""","3,176",63,"3,176","7,449,749",680,"482,465","1,743","2,139,185",270,188,145,"2,985","11,941,208",188,"158,493","2,707",66,"1,378","1,432","1,679",65,"1,753","1,158",0,985,321,570,756,463,310,293,242,141,78,0
LA,22,"=""70002""","1,568",48,"1,568","3,656,516",319,"219,813",866,"1,087,922",115,103,57,"1,467","5,799,617",101,"85,697","1,290",23,661,615,926,27,939,495,0,545,149,275,400,218,154,146,111,69,46,0
LA,22,"=""70003""","3,456",69,"3,456","8,639,523",756,"531,364","1,960","2,505,655",298,182,149,"3,232","13,426,136",222,"188,072","2,904",52,"1,446","1,462","1,956",38,"2,078","1,151",0,"1,168",291,573,806,541,372,309,257,186,119,0
LA,22,"=""70004""",27,0,27,"58,286",3,"1,588",9,"13,381",0,0,0,25,"92,973",0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,22,"=""70005""","1,229",0,"1,229","2,329,730",246,"181,147",533,"642,111",97,83,85,"1,113","3,802,777",115,"106,875",964,0,408,609,592,28,711,395,0,442,162,242,298,130,109,111,82,62,33,0
LA,22,"=""70006""","1,191",39,"1,191","2,845,526",261,"192,690",653,"870,765",90,66,53,"1,097","4,425,824",94,"84,113",968,0,458,497,672,22,725,372,0,455,106,187,288,184,125,81,100,72,45,0
LA,22,"=""70011""",32,0,32,"59,774",8,"5,701",8,"9,195",0,0,0,30,"87,399",0,232,23,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,22,"=""70030""",341,0,341,"858,555",78,"56,241",212,"254,307",21,0,0,324,"1,383,332",0,"17,591",294,0,163,144,190,0,227,96,0,116,35,51,82,44,44,21,26,0,0,0
LA,22,"=""70031""",150,0,150,"372,025",46,"30,470",93,"108,880",0,0,0,144,"652,739",0,"4,644",136,0,71,67,81,0,89,52,0,38,0,24,25,21,0,0,0,0,0,0
LA,22,"=""70032""",506,0,506,"1,339,992",109,"77,706",315,"394,333",39,24,22,488,"2,073,074",0,"14,989",446,0,249,213,278,0,282,192,0,167,43,85,119,87,58,40,33,25,0,0
LA,22,"=""70033""",23,0,23,"63,340",1,641,9,"17,464",0,0,0,21,"72,234",0,"1,835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,22,"=""70036""",97,0,97,"224,151",9,"14,633",51,"60,603",0,0,0,84,"355,148",0,"15,385",72,0,42,23,74,0,76,0,0,57,0,0,0,0,0,0,0,0,0,0
LA,22,"=""70037""","1,266",0,"1,266","3,134,640",434,"333,559",851,"1,143,509",152,97,95,"1,219","5,923,085",46,"35,514","1,141",0,534,632,627,0,633,566,0,335,81,151,201,159,144,148,149,127,98,0
LA,22,"=""70038""",47,0,47,"138,958",7,"4,809",24,"31,938",0,0,0,39,"173,315",0,"13,183",35,0,0,24,23,0,38,0,0,23,0,0,0,0,0,0,0,0,0,0
LA,22,"=""70039""",461,0,461,"1,393,382",105,"64,632",314,"387,934",33,29,21,457,"2,189,462",0,"1,411",437,0,319,198,263,0,253,197,0,115,23,74,127,61,61,49,31,23,0,0
LA,22,"=""70040""",173,0,173,"456,971",30,"21,178",101,"120,718",0,0,0,167,"733,331",0,"6,300",157,0,101,77,95,0,101,59,0,55,0,32,39,33,0,0,0,0,0,0
LA,22,"=""70041""",363,0,363,"946,851",99,"71,588",218,"272,219",0,0,0,288,"1,174,005",75,"107,568",253,0,147,106,257,0,265,77,0,212,31,53,102,56,30,24,34,0,0,0
LA,22,"=""70043""","2,705",53,"2,705","7,872,906",643,"464,140","1,862","2,471,310",212,126,89,"2,628","12,391,094",77,"55,798","2,431",55,"1,427","1,294","1,378",33,"1,439","1,075",0,838,180,428,636,468,296,251,209,138,89,0
LA,22,"=""70044""",57,0,57,"139,122",9,"11,620",35,"48,198",0,0,0,56,"227,307",0,152,48,0,0,30,26,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,22,"=""70047""",855,0,855,"2,309,107",198,"131,813",523,"658,316",81,60,51,836,"3,760,441",0,"20,476",772,0,407,435,408,0,495,313,0,251,60,123,182,146,107,85,76,47,29,0
LA,22,"=""70049""",431,0,431,"1,276,790",82,"53,288",265,"317,089",34,46,0,427,"2,062,322",0,"2,621",387,0,273,209,218,0,247,168,0,109,24,68,92,91,58,37,31,22,0,0
LA,22,"=""70050""",24,0,24,"76,995",4,"2,936",9,"23,899",0,0,0,21,"107,251",0,"3,585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,22,"=""70051""",311,0,311,"994,837",47,"33,819",201,"256,054",0,0,0,309,"1,453,820",0,"2,869",283,0,222,147,159,0,168,128,0,96,0,51,93,63,30,26,0,0,0,0
LA,22,"=""70052""",388,0,388,"1,231,215",72,"43,012",256,"321,289",0,34,0,384,"1,908,824",0,"2,207",361,0,238,170,209,0,203,168,0,103,0,54,100,79,49,38,27,0,0,0
LA,22,"=""70053""","2,026",51,"2,026","5,481,640",411,"267,034","1,259","1,556,357",136,102,58,"1,954","8,487,613",72,"70,074","1,797",68,"1,069",769,"1,220",37,"1,158",740,0,629,156,369,500,360,220,157,132,83,48,0
LA,22,"=""70054""",109,0,109,"287,363",22,"11,703",60,"72,536",0,0,0,102,"458,854",0,"5,263",96,0,50,40,67,0,63,39,0,31,0,0,0,0,0,0,0,0,0,0
