"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MA,25,"=""01001""",974,0,974,"1,936,654",284,"226,666",475,"598,289",72,72,54,911,"3,452,042",63,"68,308",737,0,250,459,494,21,528,354,0,240,103,160,164,105,93,112,84,78,72,0
MA,25,"=""01002""","1,034",34,"1,034","1,870,025",169,"125,467",436,"517,094",51,83,93,975,"3,198,084",59,"45,049",796,0,278,597,356,81,549,382,0,212,159,231,228,117,71,69,65,64,29,0
MA,25,"=""01003""",0,0,0,"7,457",0,0,0,"1,000",0,0,0,0,"17,353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,25,"=""01004""",39,0,39,"49,171",9,"6,668",9,"13,186",0,0,0,33,"95,643",0,"7,415",22,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,25,"=""01005""",222,0,222,"435,476",48,"39,329",99,"132,102",0,0,0,204,"819,641",0,"16,217",173,0,55,113,105,0,127,71,0,53,0,51,51,0,22,0,0,0,0,0
MA,25,"=""01007""",649,0,649,"1,169,731",153,"128,313",288,"342,076",49,32,54,610,"2,236,034",38,"42,429",487,0,156,368,266,0,341,236,0,145,94,113,121,66,50,66,47,54,35,0
MA,25,"=""01008""",60,0,60,"96,384",9,"9,187",22,"27,586",0,0,0,55,"181,498",0,"5,053",38,0,0,22,38,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,25,"=""01009""",91,0,91,"165,512",29,"21,014",43,"52,895",0,0,0,90,"353,298",0,114,79,0,36,52,37,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0
MA,25,"=""01010""",166,0,166,"302,414",35,"31,758",80,"92,347",0,0,0,152,"527,866",0,"8,749",121,0,46,93,72,0,86,60,0,48,0,39,38,0,0,0,0,0,0,0
MA,25,"=""01011""",87,0,87,"164,468",22,"16,972",39,"39,318",0,0,0,81,"285,736",0,"4,165",70,0,27,50,36,0,46,35,0,0,0,0,0,0,0,0,0,0,0,0
MA,25,"=""01012""",39,0,39,"61,825",9,"6,620",9,"11,939",0,0,0,37,"98,034",0,"4,937",23,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
