"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MD,24,"=""20601""","1,692",27,"1,692","3,781,307",457,"330,866","1,025","1,304,408",207,114,99,"1,641","6,790,910",51,"35,991","1,459",0,713,932,738,21,887,650,0,401,151,256,343,201,167,178,176,119,94,0
MD,24,"=""20602""","2,320",37,"2,320","5,483,567",667,"471,760","1,493","1,848,711",273,142,118,"2,266","9,730,025",54,"37,597","2,081",0,"1,083","1,243","1,039",38,"1,243",903,0,531,193,372,439,295,259,266,212,175,106,0
MD,24,"=""20603""","1,641",34,"1,641","3,703,466",473,"360,750","1,041","1,298,389",242,146,113,"1,585","6,781,693",56,"52,850","1,455",0,694,937,684,0,916,601,0,455,127,232,339,191,156,162,168,147,109,0
MD,24,"=""20604""",71,0,71,"152,756",9,"14,219",37,"39,308",0,0,0,67,"241,057",0,"1,083",60,0,0,36,31,0,45,24,0,24,0,0,0,0,0,0,0,0,0,0
MD,24,"=""20607""",529,0,529,"1,109,482",124,"104,444",279,"327,583",48,28,43,502,"1,876,157",27,"19,671",427,0,212,291,233,0,306,169,0,158,63,88,131,53,37,45,51,34,27,0
MD,24,"=""20608""",43,0,43,"94,639",9,"7,849",24,"24,836",0,0,0,41,"167,478",0,"1,224",35,0,0,0,31,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,24,"=""20609""",73,0,73,"166,480",9,"14,505",44,"51,407",0,0,0,69,"290,356",0,"2,317",58,0,24,45,28,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0
MD,24,"=""20611""",65,0,65,"140,912",9,"10,070",33,"39,492",0,0,0,60,"230,349",0,"5,857",52,0,0,23,40,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,24,"=""20613""",705,0,705,"1,579,995",165,"123,129",410,"540,803",83,59,37,683,"2,852,932",22,"15,877",594,0,296,369,330,0,434,211,0,202,70,112,144,87,68,69,69,47,36,0
MD,24,"=""20615""",24,0,24,"48,674",2,"1,099",9,"17,066",0,0,0,21,"89,889",0,"3,143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,24,"=""20616""",480,0,480,"1,072,826",119,"102,372",282,"364,321",63,25,32,470,"1,944,195",0,"7,248",428,0,202,278,192,0,255,184,0,118,53,72,100,60,35,38,46,50,25,0
MD,24,"=""20617""",40,0,40,"63,003",9,"11,258",9,"11,811",0,0,0,38,"112,336",0,"1,286",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,24,"=""20618""",32,0,32,"87,729",6,"4,370",9,"31,025",0,0,0,31,"138,844",0,388,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
