"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ME,23,"=""03901""",524,0,524,"1,067,474",159,"135,736",287,"343,842",36,0,47,496,"1,942,283",28,"37,785",449,0,195,327,185,0,261,208,0,120,49,100,109,51,42,45,45,31,48,0
ME,23,"=""03902""",83,0,83,"125,943",21,"16,475",30,"39,546",0,0,0,72,"238,451",0,"15,986",61,0,24,48,34,0,42,31,0,25,0,0,0,0,0,0,0,0,0,0
ME,23,"=""03903""",270,0,270,"463,021",65,"59,565",118,"150,699",21,0,42,240,"857,878",30,"36,111",208,0,65,157,97,0,144,101,0,82,27,46,59,23,21,25,0,32,0,0
ME,23,"=""03904""",490,0,490,"916,585",145,"123,562",249,"338,314",31,29,61,456,"1,901,629",34,"33,832",411,0,166,312,153,25,226,220,0,120,49,72,90,54,41,44,50,44,45,0
ME,23,"=""03905""",43,0,43,"49,565",9,"7,500",9,"15,370",0,0,0,36,"97,746",0,"5,262",26,0,0,25,0,0,33,0,0,21,0,0,0,0,0,0,0,0,0,0
ME,23,"=""03906""",284,0,284,"603,065",95,"75,211",155,"169,442",26,0,26,263,"1,088,595",21,"21,096",228,0,69,159,114,0,154,109,0,84,24,39,61,37,30,33,25,0,21,0
ME,23,"=""03907""",84,0,84,"59,789",3,"2,231",6,"7,066",0,0,0,73,"118,048",0,"6,994",64,0,0,46,35,0,42,0,0,23,0,32,38,0,0,0,0,0,0,0
ME,23,"=""03908""",381,0,381,"779,685",131,"103,752",196,"228,816",35,0,49,352,"1,399,471",29,"46,475",305,0,123,247,124,0,191,156,0,106,32,64,60,45,37,36,44,34,29,0
ME,23,"=""03909""",361,0,361,"548,020",94,"78,865",123,"141,117",21,21,51,319,"992,890",42,"36,079",262,0,86,217,128,0,206,119,0,113,38,83,65,34,35,22,28,28,28,0
ME,23,"=""03910""",62,0,62,"80,836",4,"2,887",9,"17,559",0,0,0,60,"143,994",0,"1,589",51,0,24,28,31,0,24,0,0,0,0,25,0,0,0,0,0,0,0,0
ME,23,"=""03911""",0,0,0,"24,996",0,"2,067",0,"6,807",0,0,0,0,"41,543",0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,23,"=""04001""",143,0,143,"328,969",29,"21,973",78,"94,369",0,0,0,135,"531,365",0,"9,854",116,0,48,80,54,0,79,51,0,44,0,22,32,0,24,0,0,0,0,0
ME,23,"=""04002""",447,0,447,"873,869",120,"92,346",222,"266,045",33,0,39,412,"1,521,500",35,"53,796",330,0,124,252,165,30,222,185,0,118,60,67,89,65,37,46,24,32,26,0
ME,23,"=""04004""",39,0,39,"65,665",9,"12,810",9,"16,806",0,0,0,38,"125,527",0,897,32,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,23,"=""04005""","1,918",34,"1,918","4,057,429",509,"361,307","1,012","1,152,897",127,79,139,"1,853","6,905,528",65,"48,843","1,606",0,751,"1,178",635,105,777,910,0,324,224,342,431,226,211,179,132,95,74,0
ME,23,"=""04008""",235,0,235,"491,719",56,"43,144",122,"146,004",0,0,0,217,"793,150",0,"15,960",193,0,78,134,85,0,124,95,0,66,26,46,46,27,0,25,22,0,0,0
ME,23,"=""04009""",440,0,440,"939,787",107,"84,740",239,"270,656",0,0,27,413,"1,536,150",27,"26,824",366,0,143,274,149,0,212,187,0,121,57,81,87,51,46,35,38,0,27,0
ME,23,"=""04010""",132,0,132,"273,678",30,"23,809",64,"84,087",0,0,0,118,"457,663",0,"13,088",101,0,34,65,64,0,82,39,0,45,0,25,30,21,0,0,0,0,0,0
ME,23,"=""04011""","1,231",0,"1,231","2,294,505",331,"259,219",565,"668,236",71,74,100,"1,156","4,188,958",75,"82,275","1,013",0,375,736,379,116,604,504,0,274,126,241,244,129,113,106,110,85,74,0
ME,23,"=""04015""",255,0,255,"536,080",76,"55,174",136,"157,587",0,0,0,244,"909,413",0,"6,339",219,0,99,150,98,0,120,108,0,62,33,44,35,32,23,42,0,0,0,0
ME,23,"=""04017""",0,0,0,"28,821",0,"1,871",0,"5,195",0,0,0,0,"30,951",0,"5,889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,23,"=""04020""",115,0,115,"217,640",26,"17,603",49,"63,829",0,0,0,113,"378,965",0,442,96,0,33,58,55,0,55,45,0,31,0,0,24,0,0,0,0,0,0,0
