"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MI,26,"=""48001""",835,0,835,"1,749,857",195,"156,754",412,"502,422",27,25,41,778,"2,945,822",57,"41,145",659,0,244,368,462,0,480,275,0,250,101,167,176,83,83,77,57,35,53,0
MI,26,"=""48002""",150,0,150,"268,261",37,"35,792",62,"89,791",0,0,0,139,"536,834",0,"12,794",114,0,27,57,93,0,100,38,0,41,0,29,26,0,0,0,0,0,0,0
MI,26,"=""48003""",331,0,331,"683,651",100,"73,350",172,"219,112",0,23,23,310,"1,217,043",21,"20,807",271,0,94,147,181,0,189,118,0,102,29,64,60,34,34,29,33,26,0,0
MI,26,"=""48005""",209,0,209,"445,650",60,"45,271",104,"142,281",0,0,0,190,"756,859",0,"22,543",159,0,43,85,117,0,143,56,0,75,25,35,36,0,25,0,0,22,0,0
MI,26,"=""48006""",243,0,243,"478,395",58,"51,873",119,"157,071",0,0,0,225,"837,564",0,"12,472",186,0,49,105,135,0,169,60,0,87,31,42,45,38,0,0,0,0,29,0
MI,26,"=""48009""",375,0,375,"694,270",56,"41,970",134,"185,111",24,26,32,322,"1,051,044",53,"71,370",237,0,88,153,214,0,256,87,0,174,59,79,77,47,28,27,23,22,0,0
MI,26,"=""48012""",0,0,0,"21,681",0,"1,389",0,"8,446",0,0,0,0,"36,809",0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,"=""48014""",332,0,332,"765,012",105,"86,586",195,"256,015",0,0,23,323,"1,329,003",0,"5,418",272,0,110,153,177,0,159,148,0,76,31,45,65,43,38,29,25,0,35,0
MI,26,"=""48015""",954,0,954,"2,404,164",232,"167,693",575,"714,547",55,55,40,914,"3,829,169",40,"31,398",806,0,394,405,532,0,547,346,0,273,73,166,212,125,106,100,80,47,45,0
MI,26,"=""48017""",663,0,663,"985,302",170,"141,732",246,"282,890",32,47,57,593,"1,800,115",70,"73,853",457,0,137,334,314,0,384,207,0,193,93,129,155,45,33,47,64,46,49,0
MI,26,"=""48021""","4,579",72,"4,579","12,555,586","1,041","739,233","2,925","3,921,253",283,391,194,"4,463","19,944,644",116,"84,183","4,119",34,"2,470","2,037","2,458",84,"2,737","1,586",0,"1,420",327,721,"1,073",680,493,456,364,280,168,0
