"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MN,27,"=""55001""",61,0,61,"81,243",9,"8,532",21,"25,514",0,0,0,56,"156,446",0,"2,946",46,0,0,34,24,0,31,22,0,0,0,0,0,0,0,0,0,0,0,0
MN,27,"=""55003""",112,0,112,"224,538",32,"25,058",59,"67,478",0,0,0,104,"364,765",0,"3,973",92,0,25,59,45,0,63,34,0,32,0,0,24,0,0,0,0,0,0,0
MN,27,"=""55005""",242,0,242,"522,747",80,"60,701",139,"191,303",25,0,23,229,"946,548",0,"15,138",206,0,72,108,128,0,149,72,0,57,29,33,39,21,34,0,23,0,22,0
MN,27,"=""55006""",313,0,313,"632,829",90,"70,091",153,"189,410",0,0,23,288,"1,070,917",25,"14,333",264,0,89,154,142,0,170,119,0,81,40,57,56,36,29,32,22,24,0,0
MN,27,"=""55007""",197,0,197,"411,493",51,"32,847",100,"141,257",0,0,0,178,"701,331",0,"19,167",152,0,58,79,104,0,101,73,0,48,24,35,42,0,0,22,0,0,0,0
MN,27,"=""55008""",963,0,963,"2,015,456",316,"248,506",534,"682,346",72,52,94,923,"3,502,627",40,"46,774",816,0,281,437,472,54,526,371,0,206,139,135,148,97,92,115,82,74,78,0
MN,27,"=""55009""",358,0,358,"668,838",105,"82,529",176,"213,346",39,0,34,339,"1,161,717",0,"23,321",278,0,101,163,173,22,189,133,0,73,42,55,76,35,42,29,37,0,0,0
MN,27,"=""55011""",443,0,443,"823,844",129,"107,230",229,"296,499",44,25,46,409,"1,435,490",34,"27,407",367,0,106,229,204,0,245,163,0,129,54,67,77,44,36,49,47,22,45,0
MN,27,"=""55012""",84,0,84,"146,483",23,"19,597",37,"51,091",0,0,0,73,"249,946",0,"12,245",59,0,0,34,48,0,49,25,0,27,0,0,0,0,0,0,0,0,0,0
MN,27,"=""55013""",270,0,270,"534,731",71,"60,664",136,"164,992",23,0,26,250,"913,273",0,"11,767",221,0,65,132,125,0,140,105,0,59,28,55,60,23,24,21,0,0,24,0
MN,27,"=""55014""","1,092",0,"1,092","2,145,528",360,"289,134",559,"713,774",131,89,133,"1,041","3,970,337",51,"37,653",890,0,316,558,505,29,557,443,0,244,125,158,177,101,114,118,130,95,70,0
MN,27,"=""55016""","1,588",0,"1,588","3,352,006",575,"462,928",931,"1,192,318",157,117,203,"1,527","6,284,595",61,"75,796","1,324",0,423,824,694,70,812,642,0,288,126,238,261,188,135,182,202,138,112,0
MN,27,"=""55017""",37,0,37,"82,764",9,"8,958",21,"37,355",0,0,0,35,"132,979",0,719,28,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,27,"=""55018""",50,0,50,"81,612",9,"9,628",23,"26,780",0,0,0,42,"141,809",0,"7,861",40,0,0,0,27,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,27,"=""55019""",99,0,99,"220,449",34,"28,530",59,"73,053",0,0,0,92,"376,198",0,"11,088",81,0,30,49,45,0,59,36,0,30,0,0,0,0,0,0,0,0,0,0
MN,27,"=""55020""",98,0,98,"178,964",24,"19,302",56,"88,677",0,0,0,89,"328,525",0,"11,495",75,0,0,48,49,0,64,28,0,36,0,0,0,0,0,0,0,0,0,0
MN,27,"=""55021""","2,400",117,"2,400","5,647,723",765,"575,016","1,458","1,928,507",170,84,142,"2,294","9,648,577",106,"92,421","1,892",0,682,904,"1,420",76,"1,169","1,044",0,413,274,341,412,313,280,290,197,169,113,0
MN,27,"=""55024""","1,394",0,"1,394","2,896,233",508,"421,750",780,"1,029,168",138,87,164,"1,317","5,280,825",77,"88,428","1,175",0,409,725,642,27,771,522,0,310,107,193,229,133,137,166,165,137,115,0
MN,27,"=""55025""","1,226",0,"1,226","2,526,015",405,"317,045",689,"801,840",123,77,135,"1,159","4,343,743",67,"73,096","1,005",0,334,635,553,38,632,498,0,280,146,195,202,139,123,122,135,80,79,0
MN,27,"=""55026""",21,0,21,"33,022",6,"4,064",7,"8,897",0,0,0,9,"68,522",0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,27,"=""55027""",111,0,111,"232,048",46,"36,441",63,"82,215",0,0,0,102,"436,553",0,"8,818",87,0,39,40,69,0,66,44,0,28,0,0,0,0,0,0,0,0,0,0
MN,27,"=""55030""",113,0,113,"209,352",37,"25,119",62,"67,573",0,0,0,103,"368,995",0,"9,675",91,0,37,45,63,0,59,43,0,39,0,21,0,0,0,0,0,0,0,0
MN,27,"=""55031""",78,0,78,"169,303",25,"18,650",45,"68,779",0,0,0,74,"298,468",0,"2,884",61,0,29,40,37,0,39,33,0,24,0,0,0,0,0,0,0,0,0,0
MN,27,"=""55032""",162,0,162,"292,399",47,"35,140",69,"96,412",0,0,0,152,"534,539",0,"16,906",128,0,38,64,89,0,92,53,0,41,0,31,31,0,0,0,0,0,0,0
MN,27,"=""55033""","1,438",0,"1,438","2,700,280",452,"364,986",730,"854,166",136,85,157,"1,373","4,851,953",65,"71,996","1,147",0,426,730,595,113,772,538,0,285,189,206,279,156,140,119,134,106,105,0
