"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MS,28,"=""38601""",333,0,333,"881,311",80,"58,920",204,"252,869",22,0,0,323,"1,436,892",0,"8,031",302,0,165,101,231,0,147,160,0,73,28,37,75,56,52,21,0,27,0,0
MS,28,"=""38603""",370,0,370,"1,025,345",75,"48,414",228,"276,143",23,0,0,358,"1,632,947",0,"8,783",323,0,216,83,276,0,220,135,0,112,26,57,75,63,58,35,28,0,0,0
MS,28,"=""38606""","2,416",35,"2,416","7,242,473",546,"371,874","1,643","2,082,430",136,132,62,"2,387","11,534,421",29,"31,941","2,242",0,"1,445","1,012","1,391",0,"1,236","1,082",0,587,110,304,653,441,237,226,213,146,83,0
MS,28,"=""38610""",417,0,417,"1,155,215",114,"84,477",276,"357,003",0,0,0,411,"1,967,124",0,"3,860",373,0,236,107,309,0,237,153,0,101,26,55,100,77,47,33,32,0,29,0
MS,28,"=""38611""","2,125",25,"2,125","5,885,005",466,"308,550","1,309","1,706,378",128,105,40,"2,045","9,196,616",80,"71,505","1,833",0,"1,165",738,"1,374",0,"1,201",795,0,701,146,332,536,336,239,189,164,113,66,0
MS,28,"=""38614""","3,830",101,"3,830","12,743,954",613,"378,226","2,624","3,436,410",197,223,95,"3,784","18,457,876",46,"32,285","3,482",0,"2,276","1,771","1,808",251,"2,286","1,421",0,873,203,622,"1,108",714,441,320,218,134,69,0
MS,28,"=""38617""",147,0,147,"486,982",30,"18,166",103,"116,665",0,0,0,146,"681,667",0,239,137,0,95,66,75,0,89,53,0,31,0,28,37,32,21,0,0,0,0,0
MS,28,"=""38618""","1,539",0,"1,539","4,407,033",372,"246,900",965,"1,223,687",104,85,34,"1,509","6,801,874",30,"34,271","1,386",0,958,559,968,0,933,536,0,469,81,216,391,239,198,148,125,85,50,0
MS,28,"=""38619""",917,0,917,"3,025,633",156,"95,127",604,"769,425",62,43,0,904,"4,464,197",0,"14,280",861,0,689,270,645,0,524,351,0,266,32,123,288,199,96,75,57,28,0,0
MS,28,"=""38620""",582,0,582,"1,741,497",138,"91,221",380,"484,600",31,28,0,574,"2,809,296",0,"3,914",539,0,340,265,310,0,322,234,0,128,31,82,121,117,68,56,53,37,0,0
MS,28,"=""38621""",346,0,346,"1,098,298",67,"38,723",221,"274,382",0,0,0,345,"1,586,845",0,121,325,0,240,116,226,0,185,137,0,92,0,46,125,62,33,23,23,0,0,0
MS,28,"=""38622""",146,0,146,"426,433",26,"16,115",103,"127,026",0,0,0,143,"667,102",0,"3,962",131,0,80,69,76,0,73,67,0,35,0,28,32,0,0,0,0,0,0,0
MS,28,"=""38623""",68,0,68,"230,027",9,"10,205",35,"42,665",0,0,0,67,"342,462",0,94,62,0,38,29,39,0,34,32,0,0,0,0,0,0,0,0,0,0,0,0
MS,28,"=""38625""",107,0,107,"232,797",33,"24,727",58,"67,970",0,0,0,101,"407,486",0,"6,251",89,0,40,0,88,0,78,25,0,30,0,24,21,0,0,0,0,0,0,0
MS,28,"=""38626""",208,0,208,"582,309",39,"26,107",121,"151,678",0,0,0,203,"924,501",0,"2,774",190,0,133,73,128,0,117,84,0,40,0,29,47,35,37,0,0,0,0,0
MS,28,"=""38627""",147,0,147,"380,869",43,"35,197",89,"113,747",0,0,0,144,"626,854",0,"2,266",134,0,77,45,102,0,79,59,0,40,0,0,30,22,0,0,0,0,0,0
MS,28,"=""38629""",202,0,202,"573,531",53,"37,987",140,"186,770",0,0,0,195,"972,835",0,"3,578",179,0,107,50,151,0,125,69,0,57,0,25,47,32,25,0,24,0,0,0
MS,28,"=""38631""",344,0,344,"1,162,818",56,"39,123",238,"285,484",0,22,0,342,"1,671,263",0,562,321,0,192,177,151,0,210,124,0,86,0,46,101,75,42,36,22,0,0,0
MS,28,"=""38632""","1,776",0,"1,776","4,476,529",518,"366,747","1,092","1,423,561",144,105,94,"1,705","7,560,043",71,"60,356","1,586",0,884,784,969,23,"1,106",579,0,534,104,269,392,204,194,185,184,128,111,0
MS,28,"=""38633""",290,0,290,"829,066",81,"55,477",192,"254,764",0,0,0,281,"1,321,311",0,"7,450",258,0,158,84,206,0,146,126,0,79,0,41,75,33,34,31,22,0,0,0
MS,28,"=""38634""",72,0,72,"197,004",9,"10,337",44,"46,348",0,0,0,71,"312,130",0,0,63,0,40,0,51,0,39,30,0,21,0,0,0,0,0,0,0,0,0,0
MS,28,"=""38635""","2,408",35,"2,408","7,035,694",425,"277,266","1,508","1,902,794",190,164,56,"2,364","10,923,149",44,"39,029","2,175",0,"1,514",762,"1,629",0,"1,265","1,014",0,727,140,391,611,425,309,209,169,101,49,0
MS,28,"=""38637""","4,351",64,"4,351","12,353,183","1,177","822,638","2,954","3,877,648",386,340,168,"4,282","20,539,172",69,"64,211","4,033",0,"2,484","2,055","2,227",69,"2,456","1,672",0,"1,112",216,533,957,655,559,529,449,275,169,0
MS,28,"=""38639""",320,0,320,"1,048,417",52,"26,916",210,"263,094",0,25,0,317,"1,539,432",0,"1,204",282,0,201,182,127,0,173,133,0,59,0,51,76,73,47,25,21,0,0,0
MS,28,"=""38641""",203,0,203,"535,264",53,"45,243",129,"168,219",0,0,0,193,"868,061",0,"8,658",182,0,108,97,102,0,116,76,0,63,0,26,42,29,0,0,0,0,0,0
MS,28,"=""38642""",396,0,396,"1,176,553",80,"50,144",246,"315,108",28,32,0,388,"1,872,612",0,"8,106",361,0,252,90,304,0,273,112,0,140,23,46,115,62,53,37,30,0,0,0
MS,28,"=""38643""",483,0,483,"1,578,480",74,"39,526",320,"388,719",32,42,0,478,"2,389,588",0,"2,907",437,0,259,319,158,0,228,239,0,115,21,85,140,83,53,45,34,0,0,0
MS,28,"=""38644""",71,0,71,"183,722",9,"7,559",38,"38,601",0,0,0,69,"262,448",0,398,54,0,30,39,26,0,36,28,0,0,0,0,24,0,0,0,0,0,0,0
MS,28,"=""38645""",222,0,222,"678,996",55,"31,681",146,"179,801",0,0,0,219,"1,031,517",0,"1,986",201,0,104,106,96,0,122,91,0,37,0,24,61,36,28,25,0,0,0,0
MS,28,"=""38646""",527,0,527,"1,566,041",99,"59,360",345,"425,488",28,59,0,519,"2,486,222",0,"4,954",480,0,332,289,235,0,248,249,0,88,28,73,140,107,62,44,41,22,0,0
MS,28,"=""38647""",199,0,199,"562,902",36,"21,396",126,"152,789",0,0,0,199,"924,517",0,0,184,0,145,47,148,0,153,40,0,67,0,28,44,38,23,26,0,0,0,0
MS,28,"=""38650""",467,0,467,"1,268,940",139,"102,811",306,"424,911",0,0,0,454,"2,125,131",0,"14,750",417,0,227,147,318,0,295,141,0,133,23,70,97,65,51,56,40,36,27,0
MS,28,"=""38651""",525,0,525,"1,277,431",138,"107,910",301,"381,311",37,34,24,501,"2,092,378",24,"20,775",439,0,236,209,303,0,310,190,0,160,44,80,110,69,55,46,39,41,41,0
MS,28,"=""38652""","1,964",31,"1,964","5,249,798",581,"428,742","1,257","1,640,484",112,78,65,"1,934","8,966,733",30,"33,617","1,782",0,988,510,"1,439",0,"1,173",688,0,467,110,290,394,267,224,223,206,135,110,0
