"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NC,37,"=""27006""",609,0,609,"1,243,144",156,"126,605",283,"350,619",33,29,31,567,"2,116,627",42,"31,990",494,0,200,285,298,26,381,186,0,181,69,109,117,70,54,50,53,42,43,0
NC,37,"=""27007""",163,0,163,"393,221",49,"36,551",106,"129,052",0,0,0,152,"694,533",0,"9,722",132,0,65,54,104,0,93,62,0,47,0,0,30,0,23,0,0,0,0,0
NC,37,"=""27009""",192,0,192,"424,325",50,"39,247",109,"129,690",0,0,0,185,"688,083",0,"11,865",161,0,70,96,91,0,117,62,0,62,0,29,40,23,0,22,0,0,0,0
NC,37,"=""27011""",473,0,473,"1,184,764",124,"90,779",283,"343,542",0,0,0,450,"1,911,754",23,"14,179",398,0,212,159,300,0,242,198,0,127,37,90,88,67,62,47,44,0,0,0
NC,37,"=""27012""","1,322",0,"1,322","2,830,028",341,"257,325",689,"871,200",103,87,93,"1,261","4,851,136",60,"64,103","1,092",0,460,718,563,41,758,473,0,353,116,223,258,157,141,139,118,86,80,0
NC,37,"=""27013""",580,0,580,"1,413,768",163,"121,653",350,"466,411",0,0,0,559,"2,383,638",21,"28,475",510,0,271,241,328,0,326,220,0,147,54,87,124,76,63,56,42,37,37,0
NC,37,"=""27014""",138,0,138,"376,118",45,"36,261",87,"117,898",0,0,0,136,"644,015",0,"2,681",125,0,72,60,75,0,62,67,0,0,0,0,28,0,21,0,0,0,0,0
NC,37,"=""27016""",125,0,125,"289,482",34,"21,893",70,"90,037",0,0,0,114,"496,890",0,"7,503",97,0,45,46,77,0,85,34,0,44,0,0,0,24,0,0,0,0,0,0
NC,37,"=""27017""",819,0,819,"2,116,528",223,"164,260",521,"653,654",34,22,0,783,"3,411,258",36,"32,429",674,0,361,275,507,37,459,313,0,215,74,136,142,122,105,73,63,47,56,0
NC,37,"=""27018""",572,0,572,"1,354,136",148,"113,426",323,"414,339",0,0,0,546,"2,275,735",26,"34,034",486,0,237,218,332,22,306,224,0,144,54,83,122,71,70,53,46,34,39,0
