"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NJ,34,"=""07001""",986,31,986,"2,240,048",248,"190,897",510,"676,959",73,77,56,927,"3,685,512",59,"54,984",760,0,262,283,693,0,599,301,0,295,80,146,186,130,99,106,111,70,55,0
NJ,34,"=""07002""","6,022",232,"6,022","15,230,863","1,264","933,619","3,428","4,501,340",427,402,268,"5,692","24,504,165",328,"256,738","4,680",0,"1,827","1,561","4,421",40,"3,989","1,614",0,"1,889",497,990,"1,329",885,628,569,509,359,245,0
NJ,34,"=""07003""","3,426",90,"3,426","7,311,772",797,"597,048","1,752","2,130,661",310,285,234,"3,252","13,088,165",174,"145,511","2,745",0,"1,137","1,025","2,278",123,"2,151","1,005",0,974,311,590,722,451,358,306,276,237,164,0
NJ,34,"=""07004""",192,0,192,"377,479",29,"20,524",77,"114,728",0,0,0,169,"596,040",23,"32,060",115,0,23,56,132,0,145,28,0,74,32,34,37,28,0,0,0,0,0,0
NJ,34,"=""07005""",584,0,584,"1,145,764",117,"90,524",270,"360,470",38,35,41,543,"1,964,697",41,"40,520",420,0,127,230,323,31,359,158,0,152,59,124,126,61,55,45,43,35,35,0
NJ,34,"=""07006""",469,0,469,"705,500",78,"67,766",173,"216,161",28,25,48,419,"1,319,675",50,"44,907",303,0,95,154,307,0,286,129,0,154,77,103,97,49,28,33,30,0,29,0
NJ,34,"=""07008""","2,499",70,"2,499","6,151,591",618,"457,569","1,434","1,878,445",177,162,63,"2,275","9,559,068",224,"303,474","1,886",0,760,616,"1,874",0,"1,582",743,0,853,179,364,493,339,297,285,236,164,138,0
NJ,34,"=""07009""",275,0,275,"455,523",41,"29,650",96,"109,578",0,24,0,237,"720,040",38,"40,748",158,0,40,102,167,0,201,50,0,106,41,54,60,22,22,25,23,0,0,0
NJ,34,"=""07010""","1,673",64,"1,673","3,576,606",257,"184,003",743,"937,261",68,95,75,"1,435","5,158,638",237,"223,775","1,043",0,263,354,"1,300",0,"1,230",323,0,730,188,343,400,223,153,115,100,93,56,0
NJ,34,"=""07011""","4,899",163,"4,899","12,201,268","1,125","777,435","2,802","3,584,938",334,350,231,"4,538","19,894,966",361,"292,133","3,733",0,"1,279",919,"3,946",34,"3,243","1,400",0,"1,651",384,799,"1,011",740,576,504,411,254,205,0
NJ,34,"=""07012""",505,0,505,"936,217",115,"78,873",219,"257,455",34,36,36,454,"1,614,168",51,"35,609",352,0,101,162,337,0,325,136,0,164,51,96,115,58,56,37,35,30,26,0
NJ,34,"=""07013""","1,447",28,"1,447","3,011,051",302,"224,711",685,"877,208",98,125,89,"1,313","5,088,316",134,"125,338","1,001",0,270,374,"1,056",0,"1,023",329,0,532,157,245,271,193,149,123,134,99,74,0
NJ,34,"=""07014""",288,0,288,"575,532",63,"46,213",137,"186,447",0,23,0,255,"1,014,576",33,"30,283",202,0,64,74,210,0,186,79,0,99,24,48,61,45,22,0,34,23,0,0
NJ,34,"=""07015""",53,0,53,"131,004",9,"6,364",26,"40,198",0,0,0,46,"213,048",0,"3,261",37,0,0,0,42,0,40,0,0,22,0,0,0,0,0,0,0,0,0,0
NJ,34,"=""07016""",415,0,415,"697,682",80,"56,507",158,"189,770",0,27,38,385,"1,210,835",30,"25,455",261,0,75,159,247,0,272,91,0,137,69,80,97,34,32,32,31,23,0,0
NJ,34,"=""07017""","5,438",155,"5,438","14,486,168","1,207","791,973","3,527","4,223,052",539,396,159,"5,347","24,417,352",91,"69,066","4,908",0,"3,477","1,424","3,836",178,"3,309","1,822",0,"1,313",375,942,"1,262",859,636,526,438,264,133,0
