"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NM,35,"=""87001""",726,23,726,"2,043,272",227,"160,608",488,"591,053",0,0,0,718,"3,276,861",0,"3,777",659,0,471,214,475,37,278,413,0,59,79,108,131,115,108,79,53,36,0,0
NM,35,"=""87002""","2,079",37,"2,079","5,286,628",543,"391,108","1,291","1,679,030",62,60,102,"2,026","8,493,138",53,"39,654","1,863",0,914,"1,122",874,83,912,"1,025",0,343,207,360,439,253,225,218,161,118,93,0
NM,35,"=""87004""","1,153",25,"1,153","2,789,056",332,"246,210",713,"895,309",53,46,43,"1,122","4,685,349",31,"19,267",990,0,520,561,533,59,488,584,0,144,113,177,210,161,135,144,101,64,45,0
NM,35,"=""87005""",81,0,81,"165,836",26,"22,419",43,"62,534",0,0,0,79,"311,795",0,309,71,0,40,38,43,0,30,40,0,0,0,0,0,0,0,0,0,0,0,0
NM,35,"=""87006""",92,0,92,"195,680",24,"21,324",48,"73,517",0,0,0,88,"364,064",0,"2,229",80,0,27,45,47,0,53,35,0,23,0,0,0,0,0,0,0,0,0,0
NM,35,"=""87007""",111,0,111,"260,979",36,"26,078",59,"69,607",0,0,0,110,"468,374",0,232,89,0,57,43,52,0,41,58,0,0,0,0,0,0,21,0,0,0,0,0
NM,35,"=""87008""",119,0,119,"179,738",9,"11,104",42,"57,902",0,0,0,108,"332,729",0,"6,980",89,0,27,65,42,0,69,34,0,38,0,27,35,0,0,0,0,0,0,0
NM,35,"=""87010""",84,0,84,"155,263",9,"9,573",36,"35,028",0,0,0,68,"205,437",0,"7,290",49,0,0,45,23,0,54,22,0,39,25,0,0,0,0,0,0,0,0,0
NM,35,"=""87012""",27,0,27,"58,651",9,"7,355",9,"15,865",0,0,0,24,"89,315",0,"2,710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,35,"=""87013""",659,0,659,"1,438,673",136,"98,859",368,"425,359",0,0,0,653,"2,332,170",0,"1,430",424,0,283,227,404,28,221,330,0,90,145,122,144,59,50,41,41,31,25,0
NM,35,"=""87014""",70,0,70,"164,549",9,"13,201",36,"49,809",0,0,0,69,"289,773",0,257,61,0,39,28,36,0,26,37,0,0,0,0,0,0,0,0,0,0,0,0
NM,35,"=""87015""",880,0,880,"1,920,712",234,"174,086",478,"631,773",29,38,70,840,"3,292,102",40,"28,424",769,0,307,523,319,38,432,362,0,219,92,146,170,116,92,68,75,52,65,0
NM,35,"=""87016""",273,0,273,"691,625",68,"57,206",165,"215,597",0,0,0,264,"1,135,243",0,"9,890",239,0,98,148,120,0,124,130,0,75,33,41,47,39,33,21,32,0,0,0
NM,35,"=""87017""",47,0,47,"118,465",9,"8,314",24,"31,135",0,0,0,47,"171,850",0,0,39,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,35,"=""87018""",28,0,28,"55,466",7,"5,079",9,"18,399",0,0,0,28,"95,119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,35,"=""87020""","1,119",0,"1,119","2,805,870",318,"243,880",695,"868,824",29,35,38,"1,090","4,663,840",29,"32,731",992,0,667,422,689,0,398,625,0,174,112,174,235,153,117,112,100,63,51,0
NM,35,"=""87021""",327,0,327,"852,487",86,"57,291",209,"270,388",0,0,0,320,"1,326,854",0,"1,576",281,0,167,120,206,0,138,159,0,81,31,53,79,37,38,29,26,0,0,0
NM,35,"=""87022""",220,0,220,"464,986",90,"75,637",121,"135,926",0,0,0,218,"877,286",0,359,191,0,74,108,94,0,103,100,0,0,0,28,27,0,35,25,39,0,0,0
NM,35,"=""87023""",88,0,88,"238,827",23,"13,632",54,"74,353",0,0,0,82,"372,395",0,"2,155",77,0,45,44,41,0,35,48,0,0,0,0,0,0,0,0,0,0,0,0
