"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NV,32,"=""89001""",65,0,65,"137,925",9,"16,505",34,"52,955",0,0,0,65,"255,796",0,0,59,0,25,45,0,0,38,21,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89002""","1,697",0,"1,697","3,717,533",561,"461,950","1,012","1,372,484",105,104,122,"1,638","6,825,939",59,"51,782","1,446",0,493,963,712,22,894,658,0,385,140,217,287,202,195,169,183,143,145,0
NV,32,"=""89003""",94,0,94,"237,805",22,"13,500",55,"69,393",0,0,0,93,"381,848",0,365,73,0,26,65,28,0,43,39,0,0,0,0,26,0,0,0,0,0,0,0
NV,32,"=""89005""",789,0,789,"1,690,100",206,"154,781",414,"552,605",40,29,43,754,"2,910,334",35,"29,304",644,0,258,464,313,0,388,300,0,184,76,141,152,95,90,79,66,46,41,0
NV,32,"=""89006""",24,0,24,"40,132",5,"3,118",7,"8,468",0,0,0,22,"64,957",0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89007""",84,0,84,"220,120",29,"24,615",63,"102,614",0,0,0,83,"404,606",0,182,69,0,27,40,43,0,47,32,0,21,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89008""",82,0,82,"176,668",28,"18,292",50,"68,211",0,0,0,79,"311,309",0,888,70,0,21,55,27,0,28,40,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89009""",55,0,55,"107,473",9,"11,027",30,"30,485",0,0,0,48,"159,214",0,"12,775",35,0,0,24,26,0,43,0,0,25,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89010""",25,0,25,"51,042",9,"6,378",9,"10,691",0,0,0,24,"74,754",0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89011""","1,930",30,"1,930","4,569,071",624,"479,628","1,182","1,579,224",184,107,111,"1,875","8,122,642",55,"48,511","1,691",0,769,"1,003",904,22,"1,006",766,0,423,162,258,366,261,212,206,187,165,107,0
NV,32,"=""89012""","1,236",0,"1,236","2,415,904",341,"269,770",610,"778,593",97,74,81,"1,152","4,199,212",84,"71,359","1,008",0,288,669,549,0,670,449,0,359,138,216,229,128,125,110,112,99,75,0
NV,32,"=""89013""",23,0,23,"42,376",9,"6,117",9,"13,301",0,0,0,21,"79,852",0,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89014""","3,308",55,"3,308","7,080,294","1,015","761,075","1,817","2,214,483",264,235,180,"3,182","12,576,023",125,"117,584","2,853",0,"1,185","1,705","1,551",50,"1,724","1,283",0,713,266,491,645,402,346,375,366,239,166,0
NV,32,"=""89015""","3,387",46,"3,387","8,431,720",944,"696,070","2,093","2,821,140",178,147,127,"3,299","14,196,732",88,"71,930","2,939",0,"1,366","1,840","1,473",74,"1,627","1,436",0,645,267,543,689,484,365,331,315,209,171,0
NV,32,"=""89016""",25,0,25,"50,343",2,"1,431",9,"14,095",0,0,0,23,"77,190",0,"1,938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89018""",73,0,73,"163,261",22,"18,941",43,"50,233",0,0,0,72,"285,358",0,314,66,0,24,45,26,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89019""",220,0,220,"487,797",55,"37,795",122,"163,893",0,0,0,214,"839,757",0,"3,641",177,0,77,117,102,0,96,89,0,35,21,40,53,31,0,21,0,0,0,0
NV,32,"=""89020""",83,0,83,"220,280",24,"21,540",55,"70,009",0,0,0,82,"359,513",0,353,73,0,25,39,44,0,43,34,0,25,0,0,26,0,0,0,0,0,0,0
NV,32,"=""89021""",111,0,111,"253,795",27,"24,380",60,"98,560",0,0,0,109,"438,223",0,575,98,0,29,62,49,0,67,36,0,36,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89024""",353,0,353,"936,661",132,"97,571",241,"348,064",0,0,0,346,"1,703,994",0,"6,022",291,0,108,130,217,0,139,200,0,39,0,31,64,61,54,27,32,32,37,0
NV,32,"=""89025""",86,0,86,"187,835",29,"28,423",49,"70,245",0,0,0,84,"331,669",0,"4,309",73,0,44,27,59,0,54,26,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89027""",940,0,940,"2,463,470",309,"225,112",618,"895,004",31,30,21,914,"4,305,167",26,"19,077",794,0,348,400,535,0,490,393,0,152,61,116,159,164,137,87,69,72,73,0
NV,32,"=""89028""",57,0,57,"125,209",9,"12,198",31,"43,334",0,0,0,57,"225,388",0,0,44,0,23,22,28,0,29,24,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89029""",596,0,596,"1,414,302",103,"76,241",334,"412,460",23,0,0,585,"2,273,230",0,"3,473",521,0,251,284,286,26,237,294,0,48,47,85,180,104,70,34,33,23,0,0
NV,32,"=""89030""","7,326",315,"7,326","23,328,854","2,067","1,337,363","5,596","7,850,258",435,223,110,"7,246","36,354,277",79,"69,469","6,446",0,"4,038","1,862","5,334",127,"4,763","2,286",0,"1,981",298,"1,005","1,743","1,263",945,792,691,372,204,0
NV,32,"=""89031""","6,866",144,"6,866","17,647,974","2,278","1,744,893","4,555","6,258,733",662,396,306,"6,717","31,052,878",148,"154,238","6,041",0,"2,810","3,306","3,470",90,"3,867","2,605",0,"1,603",385,821,"1,313",840,797,791,853,618,424,24
NV,32,"=""89032""","5,477",118,"5,477","14,919,257","1,753","1,238,277","3,748","5,234,252",553,309,181,"5,377","25,454,776",99,"81,649","4,806",0,"2,498","2,168","3,223",86,"3,173","2,002",0,"1,318",307,675,"1,082",729,687,666,641,420,257,0
NV,32,"=""89033""",60,0,60,"130,858",9,"10,040",29,"45,020",0,0,0,56,"218,793",0,"4,865",51,0,0,27,29,0,33,24,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89034""",0,0,0,"5,176",0,"2,401",0,"1,599",0,0,0,0,"9,459",0,"1,858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89036""",104,0,104,"205,987",29,"26,410",55,"79,439",0,0,0,101,"377,914",0,"5,117",73,0,24,47,51,0,62,33,0,27,0,25,0,0,0,0,0,0,0,0
NV,32,"=""89040""",165,0,165,"429,996",33,"31,144",105,"177,703",0,0,0,163,"755,015",0,612,147,0,44,104,60,0,91,64,0,33,0,22,39,0,22,0,0,0,0,0
NV,32,"=""89041""",191,0,191,"373,442",33,"21,755",78,"110,155",0,0,0,178,"609,634",0,"6,858",148,0,45,95,83,0,112,65,0,49,29,34,47,24,0,0,0,0,0,0
NV,32,"=""89042""",42,0,42,"100,282",9,"16,666",29,"46,800",0,0,0,42,"209,973",0,0,40,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89043""",47,0,47,"100,112",9,"10,866",29,"39,222",0,0,0,45,"176,224",0,783,39,0,0,37,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89044""",452,0,452,"796,092",121,"91,244",210,"260,204",28,22,22,423,"1,416,582",29,"22,891",359,0,100,233,212,0,270,129,0,145,63,86,96,37,34,38,42,31,23,0
NV,32,"=""89045""",46,0,46,"91,383",9,"18,063",29,"23,041",0,0,0,44,"172,004",0,"4,085",38,0,0,26,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89046""",42,0,42,"69,391",8,"5,375",9,"21,252",0,0,0,39,"114,332",0,"6,706",23,0,0,25,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89048""","1,364",26,"1,364","3,290,980",270,"198,434",803,"1,030,114",30,35,41,"1,315","5,252,103",48,"23,995","1,128",0,509,753,571,40,691,539,0,295,150,244,314,210,131,111,90,54,56,0
NV,32,"=""89049""",176,0,176,"361,146",40,"28,461",93,"119,634",0,0,0,174,"655,913",0,417,147,0,71,84,91,0,74,77,0,22,0,38,43,0,0,0,0,0,0,0
NV,32,"=""89052""","2,081",24,"2,081","4,019,038",604,"490,203","1,026","1,273,931",167,128,142,"1,907","7,048,042",173,"154,972","1,634",0,542,"1,038","1,009",34,"1,242",677,0,684,239,329,401,207,177,213,215,174,117,0
NV,32,"=""89053""",35,0,35,"61,227",8,"5,418",9,"15,943",0,0,0,31,"94,807",0,"3,384",26,0,0,24,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,"=""89060""",659,0,659,"1,551,470",140,"101,242",360,"454,631",0,0,0,639,"2,494,651",0,"15,137",535,0,248,348,277,34,350,238,0,138,56,116,175,95,61,47,42,37,29,0
NV,32,"=""89061""",287,0,287,"695,893",64,"43,568",156,"217,601",0,0,0,273,"1,132,685",0,"17,550",230,0,89,160,120,0,155,111,0,78,30,48,55,46,31,29,21,0,0,0
NV,32,"=""89074""","2,861",44,"2,861","5,749,582",809,"650,112","1,428","1,822,294",207,174,173,"2,688","10,088,280",172,"136,193","2,357",0,840,"1,491","1,315",55,"1,598",990,0,797,306,434,568,312,273,297,272,237,150,0
NV,32,"=""89077""",36,0,36,"62,659",4,"2,522",9,"20,895",0,0,0,31,"97,590",0,"1,542",24,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
