"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NY,36,"=""10001""","1,449",62,"1,449","2,442,081",172,"123,323",500,"595,329",77,57,81,"1,249","3,784,792",199,"133,782","1,004",0,410,439,913,97,976,328,0,495,252,398,344,133,102,83,57,57,23,0
NY,36,"=""10002""","14,552",506,"14,552","28,137,586","1,238","823,078","5,420","6,931,525",456,241,238,"12,594","38,126,196","1,954","1,204,259","9,184",0,"1,623","2,452","11,559",541,"9,214","3,456",0,"3,629","1,346","4,379","3,778","2,275","1,150",713,439,300,170,0
NY,36,"=""10003""","1,239",51,"1,239","1,294,667",94,"69,580",240,"284,353",27,32,83,937,"1,958,329",301,"213,083",690,0,198,468,708,63,896,201,0,590,286,400,311,82,42,35,33,35,0,0
NY,36,"=""10004""",66,0,66,"76,282",4,"2,592",9,"17,877",0,0,0,49,"105,061",0,"19,233",38,0,0,27,37,0,49,0,0,35,0,0,22,0,0,0,0,0,0,0
NY,36,"=""10005""",104,0,104,"75,941",8,"5,235",9,"14,020",0,0,0,84,"152,995",0,"21,512",73,0,0,60,43,0,69,0,0,50,36,34,24,0,0,0,0,0,0,0
NY,36,"=""10006""",69,0,69,"56,754",7,"5,130",9,"13,428",0,0,0,58,"97,834",0,"12,382",42,0,0,31,35,0,44,0,0,26,0,22,0,0,0,0,0,0,0,0
NY,36,"=""10007""",93,0,93,"172,782",10,"7,726",41,"45,816",0,0,0,76,"259,101",0,"8,023",63,0,23,23,66,0,61,25,0,38,0,21,0,0,0,0,0,0,0,0
NY,36,"=""10008""",0,0,0,"26,326",0,"2,058",0,"8,034",0,0,0,0,"52,050",0,"1,032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,36,"=""10009""","4,561",133,"4,561","9,177,702",690,"496,435","1,948","2,274,042",241,149,198,"4,079","13,970,521",481,"340,524","3,241",0,"1,324","1,235","2,918",408,"2,814","1,342",0,"1,441",654,"1,092","1,147",534,333,315,222,157,105,0
NY,36,"=""10010""",653,32,653,"834,524",71,"54,500",169,"201,006",29,30,45,545,"1,371,623",107,"95,725",415,0,123,238,371,44,432,142,0,261,173,148,156,44,36,28,28,23,0,0
NY,36,"=""10011""","1,501",35,"1,501","2,056,233",144,"100,384",420,"483,896",63,47,106,"1,205","3,222,310",296,"218,734",892,0,329,478,922,101,"1,074",283,0,662,333,418,389,114,75,69,48,33,21,0
NY,36,"=""10012""",740,30,740,"969,341",58,"44,568",180,"201,962",24,0,33,576,"1,428,177",164,"120,906",404,0,80,220,483,37,522,141,0,308,174,219,167,64,44,37,0,0,0,0
NY,36,"=""10013""","2,157",73,"2,157","3,734,347",152,"89,465",672,"902,405",52,34,53,"1,811","5,102,831",346,"215,091","1,295",0,73,343,"1,774",40,"1,396",509,0,610,245,667,533,306,176,99,72,35,22,0
NY,36,"=""10014""",599,22,599,"521,904",29,"22,258",89,"97,878",0,0,43,440,"839,286",159,"101,673",304,0,80,240,336,23,447,80,0,328,189,179,149,23,0,0,0,0,0,0
NY,36,"=""10016""","1,131",57,"1,131","1,514,041",81,"59,703",309,"336,516",35,32,67,951,"2,312,818",180,"130,885",745,0,278,371,678,82,786,212,0,471,268,340,296,87,40,28,31,29,0,0
NY,36,"=""10017""",302,24,302,"351,415",24,"15,541",63,"72,408",0,0,0,221,"523,044",80,"65,004",152,0,39,108,183,0,234,44,0,148,79,89,74,0,0,0,0,0,0,0
NY,36,"=""10018""",479,22,479,"741,246",74,"53,030",156,"192,752",33,21,24,401,"1,250,097",78,"67,588",311,0,68,118,341,0,312,121,0,166,76,125,96,43,39,30,39,0,0,0
NY,36,"=""10019""","1,695",75,"1,695","2,660,513",219,"169,300",535,"626,032",62,76,91,"1,396","4,163,637",296,"230,376","1,084",0,318,561,"1,038",96,"1,149",383,0,676,312,432,426,153,102,87,82,67,33,0
