"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OK,40,"=""73002""",79,0,79,"216,457",25,"17,553",55,"72,996",0,0,0,77,"367,026",0,"2,786",71,0,42,30,49,0,36,38,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73003""","1,387",0,"1,387","3,075,671",479,"380,304",828,"1,078,994",126,98,107,"1,337","5,394,720",50,"41,306","1,238",0,526,804,535,48,753,542,0,337,118,190,237,156,113,168,172,111,113,0
OK,40,"=""73004""",64,0,64,"168,910",25,"20,276",45,"59,676",0,0,0,63,"295,443",0,496,60,0,29,24,39,0,33,28,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73005""","1,146",29,"1,146","3,060,426",374,"276,675",789,"1,041,693",43,0,22,"1,135","5,357,244",0,"7,307","1,041",0,735,425,704,0,472,593,0,101,101,184,179,173,142,128,101,80,57,0
OK,40,"=""73006""",348,0,348,"834,166",108,"82,613",221,"277,137",0,0,0,344,"1,467,439",0,"3,522",312,0,187,165,149,34,188,136,0,60,41,58,63,42,33,31,37,23,0,0
OK,40,"=""73007""",115,0,115,"266,465",26,"18,218",58,"81,077",0,0,0,104,"409,321",0,"3,809",94,0,46,55,58,0,66,39,0,40,0,27,23,0,0,0,0,0,0,0
OK,40,"=""73008""","1,993",42,"1,993","5,012,394",657,"499,905","1,275","1,732,553",122,73,102,"1,931","8,354,475",62,"52,103","1,791",0,897,"1,020",926,47,"1,018",835,0,445,161,264,344,285,217,235,203,158,121,0
OK,40,"=""73009""",121,0,121,"277,331",33,"25,084",67,"79,375",0,0,0,118,"447,655",0,"2,647",102,0,48,43,77,0,65,48,0,40,0,0,30,0,0,0,0,0,0,0
OK,40,"=""73010""","1,162",0,"1,162","2,809,808",379,"307,987",714,"962,999",56,46,55,"1,106","4,788,031",56,"62,649","1,038",0,442,577,574,0,665,429,0,343,102,153,215,140,108,118,113,97,109,0
OK,40,"=""73011""",26,0,26,"54,520",9,"7,871",9,"18,100",0,0,0,25,"98,517",0,120,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73012""","1,089",0,"1,089","2,388,728",345,"283,283",646,"862,216",100,73,129,"1,016","4,103,682",72,"79,252",950,0,335,633,431,25,681,333,0,388,85,145,197,115,115,122,111,102,92,0
OK,40,"=""73013""","2,088",42,"2,088","4,513,417",607,"509,142","1,164","1,574,235",183,161,216,"1,969","7,697,921",119,"117,970","1,808",0,758,"1,185",857,46,"1,159",791,0,611,226,305,396,197,199,216,202,163,164,0
OK,40,"=""73014""",94,0,94,"235,472",25,"21,503",59,"70,887",0,0,0,89,"399,366",0,"4,251",77,0,40,38,56,0,59,29,0,30,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73015""",317,0,317,"866,876",84,"63,976",208,"285,231",0,0,0,303,"1,463,220",0,"9,825",268,0,158,102,204,0,155,136,0,62,36,42,62,53,29,29,26,0,0,0
OK,40,"=""73016""",98,0,98,"237,956",35,"29,601",53,"79,664",0,0,0,92,"418,284",0,"3,137",88,0,38,43,53,0,48,48,0,30,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73017""",141,0,141,"381,525",40,"35,546",97,"130,311",0,0,0,136,"663,177",0,"4,639",120,0,73,44,92,0,75,60,0,39,0,0,24,24,0,0,0,0,0,0
OK,40,"=""73018""","1,745",30,"1,745","4,250,167",506,"375,812","1,063","1,386,170",72,45,57,"1,699","7,313,657",46,"36,545","1,592",0,913,705,"1,015",25,877,745,0,288,178,270,330,230,194,195,143,110,92,0
OK,40,"=""73020""","1,262",0,"1,262","2,856,300",409,"335,250",759,"1,071,188",87,64,82,"1,224","5,271,913",38,"36,600","1,144",0,475,688,544,30,670,508,0,317,109,181,212,152,109,121,134,128,108,0
OK,40,"=""73023""",88,0,88,"198,090",25,"20,481",42,"56,968",0,0,0,84,"340,557",0,"4,887",80,0,39,32,53,0,44,40,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73024""",35,0,35,"62,204",9,"12,118",9,"21,700",0,0,0,28,"100,221",0,"10,352",25,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73025""",259,0,259,"542,863",79,"67,867",146,"197,972",0,0,0,240,"947,744",0,"24,938",209,0,69,140,118,0,158,76,0,95,27,43,46,24,0,24,25,31,21,0
OK,40,"=""73026""",595,0,595,"1,241,905",171,"133,396",337,"416,966",37,22,32,565,"2,154,840",30,"23,386",516,0,240,325,254,0,315,223,0,156,71,114,105,54,51,59,58,39,39,0
OK,40,"=""73027""",83,0,83,"217,574",26,"21,072",58,"76,377",0,0,0,77,"380,600",0,"4,315",69,0,37,37,42,0,50,29,0,24,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73028""",239,0,239,"632,846",63,"52,053",152,"220,763",0,0,0,227,"1,061,936",0,"6,079",205,0,111,127,109,0,120,103,0,68,24,28,48,34,32,28,0,0,0,0
OK,40,"=""73029""",125,0,125,"346,276",38,"29,363",89,"117,611",0,0,0,124,"614,020",0,30,114,0,70,60,59,0,64,55,0,23,0,21,0,0,0,0,0,0,0,0
OK,40,"=""73030""",359,0,359,"865,642",131,"101,997",225,"298,208",0,0,24,352,"1,579,658",0,"2,340",327,0,206,127,221,0,160,177,0,65,26,45,66,40,41,39,45,26,29,0
OK,40,"=""73031""",27,0,27,"77,149",7,"4,953",9,"20,160",0,0,0,26,"117,424",0,933,24,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73032""",25,0,25,"60,207",9,"12,898",9,"22,795",0,0,0,24,"110,650",0,92,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73033""",49,0,49,"131,816",9,"11,267",31,"39,621",0,0,0,46,"185,767",0,"7,232",37,0,23,0,35,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73034""","1,690",42,"1,690","3,508,486",440,"340,193",927,"1,189,208",85,97,93,"1,609","7,236,088",79,"91,987","1,471",0,666,913,725,52,861,681,0,426,199,325,342,162,142,147,143,103,120,0
OK,40,"=""73036""","1,588",38,"1,588","3,817,999",532,"420,709","1,013","1,298,400",74,54,63,"1,548","6,760,474",40,"29,829","1,427",0,877,692,838,58,806,686,0,258,152,227,300,198,172,148,166,124,96,0
OK,40,"=""73038""",154,0,154,"353,268",43,"30,869",92,"113,796",0,0,0,150,"602,950",0,"8,157",131,0,53,79,67,0,75,69,0,42,0,31,28,21,0,0,0,0,0,0
OK,40,"=""73040""",192,0,192,"497,419",52,"38,983",120,"168,542",0,0,0,188,"859,316",0,"3,299",174,0,119,63,124,0,104,74,0,32,0,33,31,27,24,0,0,0,0,0
OK,40,"=""73041""",21,0,21,"41,549",6,"3,753",9,"12,743",0,0,0,9,"73,943",0,"2,941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73042""",86,0,86,"205,714",21,"15,786",46,"58,077",0,0,0,86,"336,841",0,0,79,0,47,32,52,0,45,35,0,21,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73044""","1,800",21,"1,800","4,285,883",545,"418,317","1,074","1,437,637",94,67,99,"1,734","7,218,669",66,"67,768","1,554",0,793,891,873,36,864,796,0,413,187,240,355,221,197,189,161,116,126,0
OK,40,"=""73045""",790,0,790,"1,810,786",299,"230,487",468,"599,917",44,33,31,768,"3,253,017",22,"19,264",712,0,317,419,359,0,390,350,0,188,63,102,127,106,75,90,81,82,61,0
OK,40,"=""73047""",222,0,222,"538,838",80,"63,209",141,"205,885",0,0,0,209,"965,205",0,"11,208",194,0,102,88,133,0,127,81,0,60,0,29,39,31,0,0,25,0,27,0
OK,40,"=""73048""",123,0,123,"288,394",42,"35,237",80,"91,234",0,0,0,114,"492,704",0,"5,649",111,0,65,43,80,0,65,55,0,39,0,25,23,0,0,0,0,0,0,0
OK,40,"=""73049""",457,0,457,"1,065,119",159,"125,871",276,"350,735",23,0,0,438,"1,899,240",0,"26,501",407,0,181,230,219,0,212,209,0,112,39,57,82,56,59,48,47,34,30,0
OK,40,"=""73050""",78,0,78,"219,665",9,"10,016",54,"70,870",0,0,0,78,"380,612",0,0,76,0,48,54,23,0,39,35,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73051""",644,0,644,"1,716,848",186,"141,050",419,"602,172",33,0,0,619,"2,780,879",25,"22,443",572,0,310,253,389,0,357,253,0,160,55,93,109,85,92,63,50,46,46,0
OK,40,"=""73052""",443,0,443,"1,115,711",132,"109,977",279,"387,056",0,0,0,427,"1,958,298",0,"22,051",399,0,214,149,290,0,229,182,0,132,34,61,88,58,45,41,42,37,35,0
OK,40,"=""73053""",53,0,53,"159,843",9,"9,544",39,"56,693",0,0,0,51,"249,015",0,483,44,0,0,25,27,0,35,0,0,21,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73054""",351,0,351,"909,791",110,"91,643",224,"321,292",0,0,0,335,"1,456,510",0,"24,941",307,0,151,163,181,0,200,130,0,112,24,45,65,53,39,28,39,27,30,0
OK,40,"=""73055""",693,0,693,"1,726,785",210,"164,538",433,"563,162",0,0,28,672,"3,011,356",21,"19,896",625,0,336,355,323,0,419,240,0,165,71,113,117,89,73,55,53,69,49,0
OK,40,"=""73056""",27,0,27,"52,068",9,"6,575",9,"15,894",0,0,0,27,"94,088",0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,"=""73057""",182,0,182,"457,476",50,"40,218",120,"166,535",0,0,0,177,"794,639",0,"6,387",162,0,103,57,124,0,82,85,0,47,0,23,40,21,21,0,0,0,0,0
OK,40,"=""73058""",24,0,24,"43,546",9,"7,201",9,"13,991",0,0,0,22,"73,110",0,548,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
