"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OR,41,"=""97001""",26,0,26,"50,671",8,"5,783",9,"33,572",0,0,0,25,"110,914",0,212,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,41,"=""97002""",277,0,277,"542,316",77,"57,497",146,"206,083",0,0,22,258,"931,020",0,"23,416",216,0,82,158,108,0,150,96,0,81,30,46,50,22,26,26,28,0,29,0
OR,41,"=""97004""",176,0,176,"362,127",41,"32,630",84,"134,869",0,0,0,163,"615,739",0,"16,733",141,0,54,110,64,0,89,64,0,52,0,30,37,0,0,0,0,0,0,0
OR,41,"=""97005""","1,955",111,"1,955","4,319,668",506,"353,511","1,092","1,392,520",95,104,136,"1,876","7,057,919",79,"79,226","1,603",0,610,"1,098",747,110,869,865,0,348,187,345,409,246,237,192,148,96,89,0
OR,41,"=""97006""","4,345",151,"4,345","9,369,902","1,268","974,370","2,422","3,144,204",302,245,418,"4,201","16,001,987",143,"164,589","3,673",0,"1,389","2,692","1,494",159,"1,934","1,950",0,794,395,700,829,461,487,464,385,309,296,0
OR,41,"=""97007""","3,689",86,"3,689","7,802,486","1,103","852,521","2,042","2,781,545",265,231,343,"3,517","13,330,957",172,"149,803","3,026",0,"1,091","2,196","1,361",132,"1,865","1,488",0,851,390,542,626,400,384,376,338,325,295,0
OR,41,"=""97008""","1,878",58,"1,878","3,742,270",533,"416,937",955,"1,192,143",116,102,145,"1,784","6,350,101",93,"74,391","1,553",0,627,"1,142",650,86,888,772,0,381,190,336,351,212,189,188,166,127,112,0
OR,41,"=""97009""",446,0,446,"835,016",114,"86,407",224,"305,618",23,25,35,414,"1,426,640",32,"26,279",352,0,118,281,159,0,213,174,0,96,63,92,74,43,32,38,40,35,28,0
OR,41,"=""97011""",50,0,50,"81,466",7,"5,005",9,"20,289",0,0,0,47,"122,866",0,"4,001",39,0,0,34,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,41,"=""97013""","1,318",27,"1,318","3,111,479",455,"362,251",825,"1,142,942",72,62,84,"1,268","5,237,995",50,"47,214","1,054",0,412,777,503,37,609,603,0,257,96,164,218,144,171,156,131,119,109,0
