"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
PA,42,"=""15001""","2,401",31,"2,401","5,089,518",600,"454,153","1,287","1,574,756",109,129,178,"2,334","9,467,058",67,"56,675","2,056",0,915,"1,372",974,55,"1,046","1,092",0,345,320,413,494,282,243,191,207,115,130,0
PA,42,"=""15003""","1,124",0,"1,124","2,435,259",274,"212,500",585,"760,516",36,53,76,"1,089","4,459,817",35,"24,191",970,0,464,639,462,23,447,529,0,161,149,192,232,136,110,103,90,59,49,0
PA,42,"=""15004""",25,0,25,"40,032",9,"7,412",9,"12,696",0,0,0,25,"89,954",0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15005""",421,0,421,"791,674",117,"92,690",200,"253,194",0,0,35,402,"1,544,307",0,"10,448",342,0,111,240,168,0,204,171,0,79,52,78,82,41,38,42,29,39,0,0
PA,42,"=""15006""",21,0,21,"32,477",9,"6,856",8,"9,144",0,0,0,21,"79,913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15007""",0,0,0,"33,569",0,890,0,"8,828",0,0,0,0,"54,593",0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15009""",652,0,652,"1,162,304",158,"126,685",277,"350,087",27,44,77,623,"2,226,918",29,"31,155",501,0,151,322,315,0,322,253,0,128,93,124,122,67,54,59,49,40,37,0
PA,42,"=""15010""","2,098",22,"2,098","4,402,813",521,"393,572","1,088","1,299,279",82,84,166,"2,050","8,092,273",47,"38,493","1,819",0,751,"1,096",961,41,913,967,0,286,295,381,402,268,201,171,179,106,91,0
PA,42,"=""15012""",992,0,992,"1,955,317",244,"174,261",482,"563,577",28,50,85,962,"3,630,441",30,"18,190",807,0,334,556,411,25,395,484,0,145,140,173,209,113,87,85,74,61,48,0
PA,42,"=""15014""",338,0,338,"735,828",97,"75,155",186,"224,989",0,0,31,330,"1,418,294",0,"5,349",294,0,132,192,138,0,155,151,0,49,35,54,72,31,51,32,27,0,0,0
PA,42,"=""15015""",0,0,0,"15,824",0,"2,880",0,"5,120",0,0,0,0,"37,667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15017""",672,0,672,"1,185,436",184,"151,121",291,"335,107",40,52,83,636,"2,318,703",36,"50,471",526,0,170,362,285,25,357,242,0,150,80,111,130,72,53,48,73,56,47,0
PA,42,"=""15018""",93,0,93,"180,606",21,"17,223",42,"54,233",0,0,0,92,"377,218",0,303,76,0,38,51,41,0,34,47,0,0,0,0,21,0,0,0,0,0,0,0
PA,42,"=""15019""",82,0,82,"174,017",23,"17,125",38,"56,118",0,0,0,81,"341,480",0,626,72,0,33,50,31,0,29,42,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15021""",420,0,420,"852,756",104,"87,577",190,"241,695",0,24,34,403,"1,617,871",0,"15,433",355,0,151,210,202,0,202,170,0,77,41,80,81,48,42,34,32,28,32,0
PA,42,"=""15022""",894,0,894,"1,764,321",206,"171,065",444,"512,763",22,35,56,871,"3,290,035",22,"15,683",771,0,403,486,391,0,317,452,0,114,130,178,190,81,76,72,72,45,49,0
PA,42,"=""15024""",433,0,433,"750,525",113,"90,606",197,"254,645",0,29,32,414,"1,484,051",0,"24,024",339,0,109,246,176,0,213,162,0,95,52,68,93,48,32,37,32,37,30,0
PA,42,"=""15025""","1,287",0,"1,287","2,982,590",304,"235,968",703,"821,264",48,56,66,"1,259","5,152,039",28,"24,178","1,130",0,546,789,465,33,553,616,0,156,163,264,275,164,116,106,96,58,44,0
PA,42,"=""15026""",175,0,175,"348,352",48,"39,857",81,"98,535",0,0,0,166,"638,304",0,"8,196",138,0,52,95,77,0,90,68,0,43,0,32,30,25,0,0,0,0,0,0
PA,42,"=""15027""",139,0,139,"265,182",33,"25,571",64,"82,114",0,0,0,134,"517,588",0,"3,260",122,0,53,74,61,0,63,58,0,23,22,21,32,0,0,0,0,0,0,0
PA,42,"=""15030""",131,0,131,"242,130",38,"32,093",73,"80,320",0,0,0,129,"533,518",0,"1,752",118,0,63,76,50,0,59,61,0,0,22,21,0,0,0,0,0,0,0,0
PA,42,"=""15031""",53,0,53,"119,016",9,"13,316",32,"39,989",0,0,0,49,"211,741",0,"1,873",45,0,21,30,21,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15033""",547,0,547,"1,191,085",116,"94,535",294,"330,973",0,0,35,535,"2,188,297",0,"6,335",484,0,262,312,227,0,165,312,0,51,60,115,137,62,42,43,38,21,27,0
PA,42,"=""15034""",130,0,130,"263,886",43,"28,440",64,"83,589",0,0,0,123,"496,465",0,"2,379",104,0,47,84,46,0,54,57,0,0,0,25,23,0,0,0,0,0,0,0
PA,42,"=""15035""",200,0,200,"477,718",59,"39,764",114,"131,730",0,0,0,200,"863,784",0,0,182,0,85,117,80,0,86,98,0,29,0,34,39,26,33,22,0,0,0,0
PA,42,"=""15037""",561,0,561,"1,042,262",162,"123,619",257,"300,732",0,43,27,540,"2,082,110",21,"16,304",463,0,200,315,234,0,271,238,0,99,77,95,106,45,57,63,48,32,38,0
PA,42,"=""15038""",31,0,31,"64,112",9,"8,093",9,"18,318",0,0,0,31,"130,462",0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15042""",467,0,467,"897,285",141,"112,425",229,"292,100",0,26,36,452,"1,830,838",0,"10,641",384,0,163,263,198,0,185,231,0,65,55,77,93,41,64,33,36,33,32,0
PA,42,"=""15043""",137,0,137,"310,278",40,"30,312",86,"93,611",0,0,0,131,"562,585",0,"5,736",113,0,44,55,81,0,72,57,0,26,0,24,26,0,0,0,0,0,0,0
PA,42,"=""15044""",708,0,708,"1,198,925",182,"147,786",287,"340,948",24,43,91,653,"2,234,030",55,"49,963",516,0,137,414,279,0,391,242,0,189,100,139,124,69,63,68,43,48,53,0
PA,42,"=""15045""",511,0,511,"1,131,094",115,"89,495",278,"351,353",0,0,24,499,"2,031,792",0,"10,002",455,0,224,296,211,0,208,236,0,67,62,111,104,54,47,46,33,25,27,0
PA,42,"=""15046""",161,0,161,"336,793",38,"24,114",81,"97,505",0,0,0,156,"622,896",0,"2,971",126,0,43,91,67,0,78,70,0,32,0,24,36,26,21,0,0,0,0,0
PA,42,"=""15047""",27,0,27,"45,921",6,"4,395",9,"13,602",0,0,0,26,"86,960",0,"1,402",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15049""",59,0,59,"117,567",9,"15,883",26,"28,446",0,0,0,56,"220,854",0,"1,234",51,0,0,37,22,0,23,33,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15050""",139,0,139,"308,000",42,"36,691",73,"85,450",0,0,0,134,"582,974",0,"2,557",121,0,47,64,71,0,75,53,0,28,0,24,21,0,0,0,0,0,0,0
PA,42,"=""15051""",33,0,33,"43,311",9,"7,211",9,"10,934",0,0,0,33,"95,995",0,0,28,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15052""",209,0,209,"405,274",66,"52,397",99,"122,348",0,0,0,201,"797,129",0,"9,407",177,0,63,94,110,0,116,79,0,40,22,26,40,29,0,22,21,0,0,0
PA,42,"=""15054""",70,0,70,"137,910",9,"12,214",35,"31,589",0,0,0,68,"245,456",0,"1,458",60,0,46,23,46,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15055""",70,0,70,"135,643",9,"11,493",32,"32,352",0,0,0,64,"237,347",0,"5,924",50,0,0,35,31,0,43,24,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15056""",104,0,104,"205,006",35,"33,622",52,"64,033",0,0,0,97,"423,049",0,"6,610",86,0,35,60,43,0,44,52,0,0,0,21,0,0,0,0,0,0,0,0
PA,42,"=""15057""",524,0,524,"1,011,185",142,"108,274",242,"294,583",0,24,41,511,"1,995,466",0,"12,305",430,0,169,268,247,0,229,225,0,97,55,88,123,50,46,43,47,39,32,0
PA,42,"=""15059""",373,0,373,"826,799",106,"88,904",207,"251,208",0,21,23,364,"1,545,206",0,"3,147",340,0,174,188,184,0,179,155,0,48,38,68,64,44,34,49,34,22,0,0
PA,42,"=""15060""",64,0,64,"151,363",9,"8,380",37,"48,474",0,0,0,63,"254,741",0,"1,665",55,0,22,34,29,0,21,37,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15061""",847,0,847,"1,778,479",214,"155,995",458,"552,674",34,55,68,824,"3,371,060",23,"20,698",733,0,287,446,383,0,388,385,0,108,95,166,142,108,90,70,66,60,45,0
PA,42,"=""15062""",674,0,674,"1,432,182",138,"99,374",333,"388,353",21,35,41,649,"2,543,318",25,"18,573",571,0,290,371,284,0,250,334,0,98,104,143,132,77,69,65,34,25,25,0
PA,42,"=""15063""",677,0,677,"1,326,453",176,"144,723",324,"393,285",0,35,54,651,"2,563,538",26,"38,960",556,0,254,360,309,0,256,342,0,115,87,100,148,64,63,63,64,35,51,0
PA,42,"=""15064""",38,0,38,"82,338",9,"12,240",9,"24,123",0,0,0,36,"155,152",0,"2,784",32,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15065""",794,0,794,"1,565,224",208,"160,979",391,"476,807",25,50,66,774,"3,000,299",0,"16,569",643,0,278,442,325,27,406,300,0,119,116,139,161,80,65,75,61,45,50,0
PA,42,"=""15066""","1,083",0,"1,083","2,255,974",273,"209,182",570,"638,902",38,51,74,"1,052","4,127,949",31,"22,701",925,0,391,526,544,0,458,483,0,169,149,177,227,134,92,106,96,46,53,0
PA,42,"=""15067""",181,0,181,"341,097",44,"40,139",79,"90,919",0,0,0,175,"627,545",0,"3,236",158,0,68,96,82,0,82,76,0,36,29,31,33,26,0,0,0,0,0,0
PA,42,"=""15068""","2,843",0,"2,843","6,036,771",648,"498,280","1,471","1,795,379",102,120,198,"2,758","10,735,896",84,"68,010","2,371",0,"1,095","1,487","1,247",109,"1,572","1,003",0,530,421,536,623,309,223,217,199,181,123,0
PA,42,"=""15071""",446,0,446,"781,003",140,"104,977",200,"232,552",28,30,48,423,"1,627,534",23,"20,545",368,0,129,241,196,0,229,177,0,79,50,87,79,38,37,38,48,41,28,0
PA,42,"=""15072""",24,0,24,"40,837",5,"3,315",9,"14,343",0,0,0,24,"72,343",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15074""",864,0,864,"1,697,392",230,"172,649",438,"505,491",36,37,52,839,"3,290,510",25,"16,934",728,0,341,445,399,0,352,409,0,100,140,141,169,98,72,78,62,58,45,0
PA,42,"=""15075""",22,0,22,"57,927",1,580,9,"18,392",0,0,0,22,"94,673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15076""",78,0,78,"130,756",25,"20,837",33,"43,662",0,0,0,73,"266,041",0,"1,942",59,0,26,47,30,0,32,38,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15078""",42,0,42,"83,931",9,"7,658",9,"19,578",0,0,0,41,"141,124",0,"4,802",34,0,0,0,22,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15081""",35,0,35,"83,790",9,"8,292",9,"22,697",0,0,0,35,"161,391",0,0,29,0,0,23,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15082""",23,0,23,"37,079",9,"8,038",9,"13,914",0,0,0,21,"82,608",0,"2,775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15083""",63,0,63,"143,622",9,"10,103",33,"41,997",0,0,0,58,"233,943",0,"1,002",56,0,27,36,27,0,28,23,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15084""",836,0,836,"1,738,918",216,"174,909",440,"561,457",24,31,75,807,"3,250,530",29,"16,250",696,0,297,470,349,0,414,348,0,154,105,149,178,88,79,75,60,49,50,0
PA,42,"=""15085""",410,0,410,"744,663",122,"105,342",192,"231,219",24,21,49,383,"1,433,681",27,"25,033",331,0,112,251,137,22,191,171,0,84,55,72,78,27,44,41,29,24,36,0
PA,42,"=""15087""",22,0,22,"41,059",9,"6,207",9,"12,158",0,0,0,21,"81,360",0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15088""",69,0,69,"158,154",9,"8,053",35,"49,379",0,0,0,67,"274,635",0,861,63,0,33,38,30,0,24,40,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15089""",367,0,367,"758,569",106,"87,623",178,"213,855",0,0,35,357,"1,415,019",0,"11,655",313,0,143,182,178,0,161,171,0,62,38,56,69,40,35,38,37,26,27,0
PA,42,"=""15090""",375,0,375,"547,138",60,"50,740",130,"152,018",0,31,46,343,"990,041",32,"31,943",257,0,60,218,149,0,224,107,0,113,64,80,78,37,23,22,26,23,21,0
PA,42,"=""15101""",671,0,671,"1,124,229",170,"144,256",269,"320,878",36,65,89,628,"2,192,114",43,"38,222",508,0,151,394,261,0,399,211,0,179,83,118,128,59,57,58,59,57,48,0
PA,42,"=""15102""",969,0,969,"1,578,048",252,"210,029",384,"460,891",42,76,126,917,"3,073,030",52,"49,475",756,0,204,548,383,38,556,314,0,243,141,153,194,81,88,91,84,64,66,0
PA,42,"=""15104""","1,482",24,"1,482","3,814,588",295,"197,746",908,"1,088,135",69,65,59,"1,472","6,272,004",0,"5,861","1,364",0,761,911,506,65,733,609,0,199,185,286,361,199,151,129,96,50,25,0
PA,42,"=""15106""","1,235",26,"1,235","2,408,694",286,"224,759",587,"697,686",51,70,115,"1,173","4,426,230",62,"54,899","1,023",0,435,663,535,37,546,546,0,227,166,245,275,128,105,97,83,72,60,0
PA,42,"=""15108""","1,687",0,"1,687","3,102,669",376,"305,974",742,"943,290",77,108,184,"1,625","5,813,588",62,"51,627","1,328",0,447,957,683,47,856,640,0,277,249,314,357,152,157,166,112,85,93,0
PA,42,"=""15110""",883,0,883,"2,345,787",192,"128,823",565,"655,075",34,25,0,869,"3,718,131",0,"7,963",827,0,507,539,318,26,412,395,0,152,96,190,225,109,86,88,52,22,0,0
PA,42,"=""15112""",432,0,432,"1,036,629",92,"63,049",251,"309,300",22,0,30,423,"1,734,548",0,"8,266",387,0,204,280,137,0,198,191,0,72,56,82,103,56,43,38,27,0,0,0
PA,42,"=""15116""",471,0,471,"761,050",123,"108,136",197,"233,532",26,40,69,447,"1,531,051",24,"18,622",374,0,103,294,166,0,270,165,0,106,58,87,114,0,41,44,42,30,33,0
PA,42,"=""15120""","1,661",23,"1,661","3,752,935",392,"267,612",925,"1,143,854",96,89,115,"1,630","6,676,835",31,"19,277","1,478",0,681,"1,002",600,59,724,745,0,215,203,271,392,192,155,189,118,95,45,0
PA,42,"=""15122""","1,545",24,"1,545","3,412,270",431,"318,889",858,"1,038,567",67,73,102,"1,506","6,271,035",39,"27,348","1,353",0,622,933,571,40,672,720,0,209,166,282,305,186,174,141,124,97,67,0
PA,42,"=""15126""",396,0,396,"780,423",118,"93,115",199,"226,563",25,22,38,378,"1,493,680",0,"17,539",334,0,129,214,170,0,202,161,0,74,40,71,87,39,39,32,35,25,27,0
PA,42,"=""15129""",511,0,511,"1,006,247",135,"110,298",255,"280,438",30,39,53,489,"1,857,874",22,"32,713",416,0,140,309,185,0,252,214,0,93,64,88,94,44,48,60,39,41,29,0
PA,42,"=""15131""",434,0,434,"794,658",124,"103,810",196,"248,400",21,30,44,417,"1,535,352",0,"16,559",358,0,136,252,171,0,209,175,0,87,61,76,75,35,35,41,54,36,0,0
PA,42,"=""15132""","2,663",47,"2,663","6,623,834",575,"395,875","1,583","1,925,240",101,98,108,"2,621","11,081,003",42,"30,645","2,404",0,"1,346","1,526","1,072",65,"1,216","1,200",0,347,327,560,590,344,267,224,166,113,68,0
PA,42,"=""15133""",477,0,477,"955,433",145,"114,617",242,"295,905",0,32,38,462,"1,951,166",0,"9,118",408,0,168,300,166,0,201,228,0,61,46,76,89,47,63,45,40,37,34,0
PA,42,"=""15135""",249,0,249,"445,792",69,"56,870",109,"122,564",0,21,21,238,"921,804",0,"7,773",199,0,87,148,100,0,102,117,0,34,26,46,51,23,0,27,0,0,0,0
PA,42,"=""15136""","2,249",42,"2,249","5,339,154",520,"378,571","1,281","1,565,352",112,85,114,"2,207","9,077,056",42,"30,173","1,990",0,990,"1,323",846,80,"1,071",944,0,352,272,433,517,287,212,210,148,105,63,0
PA,42,"=""15137""",871,0,871,"1,864,681",226,"174,782",471,"544,879",47,41,64,843,"3,345,035",27,"33,340",738,0,335,522,311,38,402,383,0,145,81,190,175,97,93,75,72,51,35,0
PA,42,"=""15139""",266,0,266,"393,596",50,"41,925",94,"107,367",0,0,36,250,"780,258",0,"16,688",214,0,63,163,95,0,133,95,0,60,34,70,61,21,0,0,0,0,0,0
PA,42,"=""15140""",366,0,366,"910,796",78,"50,427",202,"265,191",0,0,23,360,"1,535,901",0,960,329,0,139,236,110,0,147,177,0,45,46,56,84,53,49,35,0,0,0,0
PA,42,"=""15142""",33,0,33,"34,058",9,"8,393",9,"11,607",0,0,0,31,"105,288",0,"1,919",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,"=""15143""",498,0,498,"754,700",102,"90,532",182,"205,769",26,29,59,458,"1,402,184",40,"39,589",352,0,116,304,181,0,256,180,0,117,95,110,84,37,37,34,35,35,29,0
PA,42,"=""15144""",282,0,282,"549,531",71,"57,930",132,"159,205",0,0,25,275,"1,047,820",0,"12,920",239,0,94,164,104,0,123,133,0,32,39,44,52,40,25,32,0,0,0,0
PA,42,"=""15145""",826,0,826,"1,811,624",208,"158,452",439,"540,017",39,37,48,800,"3,196,930",26,"18,341",727,0,341,530,245,51,388,345,0,125,88,163,177,90,83,82,64,46,29,0
PA,42,"=""15146""","1,534",21,"1,534","3,076,871",370,"290,630",750,"945,842",107,127,166,"1,483","5,610,192",51,"46,558","1,247",0,433,954,517,63,774,621,0,323,178,264,319,178,141,136,123,99,91,0
PA,42,"=""15147""","1,317",0,"1,317","2,868,374",332,"267,237",704,"874,526",90,94,111,"1,285","5,257,860",32,"24,183","1,152",0,457,834,434,49,632,543,0,220,142,213,273,150,159,117,109,80,69,0
