"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
SC,45,"=""29001""",297,0,297,"849,350",53,"29,406",184,"221,196",0,0,0,288,"1,227,863",0,"3,362",258,0,184,72,221,0,153,124,0,73,26,54,70,65,38,0,0,0,0,0
SC,45,"=""29003""",850,0,850,"2,419,279",185,"123,033",568,"679,461",44,48,32,827,"3,580,234",23,"14,851",774,0,496,338,505,0,411,394,0,208,59,147,197,136,122,92,49,26,21,0
SC,45,"=""29006""","1,112",0,"1,112","2,925,493",294,"216,265",702,"905,539",37,31,34,"1,082","4,669,240",30,"30,920",935,0,621,402,696,0,595,459,0,212,87,177,225,193,131,104,85,52,58,0
SC,45,"=""29009""",256,0,256,"661,911",51,"31,442",147,"183,200",0,0,0,251,"1,011,218",0,"7,896",205,0,124,110,141,0,138,105,0,53,24,48,50,39,26,27,25,0,0,0
SC,45,"=""29010""","1,777",26,"1,777","4,842,825",402,"258,147","1,099","1,326,085",76,83,42,"1,741","7,241,095",36,"21,090","1,596",0,"1,168",521,"1,236",0,948,717,0,313,149,286,400,304,225,180,115,72,44,0
SC,45,"=""29014""",212,0,212,"487,890",67,"52,645",124,"136,708",0,0,0,204,"799,811",0,"10,147",190,0,106,70,139,0,118,81,0,31,0,32,43,0,31,28,0,0,0,0
SC,45,"=""29015""",275,0,275,"762,756",55,"35,562",159,"195,850",23,22,0,269,"1,133,933",0,"3,715",253,0,148,80,194,0,141,120,0,61,0,32,67,51,35,37,22,0,0,0
SC,45,"=""29016""","1,285",0,"1,285","2,967,643",344,"258,494",752,"958,302",140,112,111,"1,244","5,106,456",41,"31,355","1,120",0,564,698,550,37,758,442,0,320,94,175,259,163,153,152,109,84,91,0
SC,45,"=""29018""",572,0,572,"1,544,449",144,"88,722",353,"423,638",23,33,0,562,"2,408,048",0,"7,229",499,0,340,233,334,0,297,241,0,106,42,96,116,98,75,65,43,25,0,0
SC,45,"=""29020""","2,458",33,"2,458","6,290,389",572,"395,990","1,520","1,871,727",175,141,87,"2,404","9,786,143",53,"44,056","2,217",0,"1,200","1,048","1,311",99,"1,329",972,0,510,182,429,587,361,269,241,177,105,99,0
SC,45,"=""29021""",44,0,44,"99,911",9,"6,090",9,"19,403",0,0,0,43,"139,630",0,"1,655",36,0,0,0,23,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,45,"=""29030""",171,0,171,"378,706",41,"32,182",90,"94,930",0,0,0,166,"616,352",0,986,144,0,87,66,104,0,107,56,0,36,0,35,34,0,0,0,0,0,0,0
SC,45,"=""29031""",217,0,217,"524,758",74,"50,052",134,"141,441",0,0,0,207,"811,502",0,"6,525",189,0,95,53,163,0,107,101,0,31,0,32,40,38,28,28,21,0,0,0
SC,45,"=""29032""",568,0,568,"1,557,996",144,"95,452",365,"467,147",0,22,0,561,"2,364,288",0,"5,852",508,0,304,245,315,0,306,222,0,119,37,93,125,92,67,61,41,25,25,0
SC,45,"=""29033""","1,226",21,"1,226","2,912,666",275,"199,285",723,"875,589",74,54,56,"1,199","4,574,372",27,"24,432","1,081",0,576,650,562,0,657,457,0,246,110,244,300,161,111,104,93,58,42,0
SC,45,"=""29036""",756,0,756,"1,554,212",222,"197,047",404,"490,382",66,44,63,713,"2,634,264",43,"50,470",635,0,236,406,342,0,453,253,0,210,83,110,136,87,62,80,66,50,79,0
SC,45,"=""29037""",83,0,83,"196,454",21,"13,729",44,"55,848",0,0,0,79,"316,218",0,"4,436",71,0,40,30,52,0,52,27,0,0,0,0,22,0,0,0,0,0,0,0
SC,45,"=""29038""",281,0,281,"752,581",80,"56,346",181,"230,627",0,0,0,272,"1,220,455",0,"9,350",249,0,145,110,169,0,158,106,0,64,0,45,58,46,29,30,33,0,0,0
SC,45,"=""29039""",610,0,610,"1,663,897",134,"92,152",397,"499,233",35,45,0,598,"2,610,054",0,"6,040",545,0,359,239,366,0,305,277,0,115,52,100,134,97,68,62,37,34,25,0
SC,45,"=""29040""","1,228",0,"1,228","3,247,418",372,"256,407",813,"1,034,459",105,91,63,"1,205","5,672,726",23,"25,117","1,153",0,621,627,551,50,624,533,0,209,65,157,238,180,166,143,126,79,68,0
SC,45,"=""29042""",767,0,767,"2,152,041",149,"94,506",501,"598,440",36,58,0,761,"3,290,839",0,"4,812",716,0,454,365,399,0,381,339,0,118,71,122,169,135,106,65,43,42,0,0
SC,45,"=""29044""",765,0,765,"2,066,754",151,"103,575",481,"585,395",45,35,0,751,"3,140,942",0,"6,868",686,0,383,386,362,0,402,312,0,158,75,130,181,115,93,68,54,36,0,0
SC,45,"=""29045""","2,060",0,"2,060","5,014,737",576,"442,048","1,282","1,641,043",156,147,146,"1,998","8,478,386",62,"56,852","1,835",0,963,"1,106",912,42,"1,132",811,0,499,184,302,368,279,225,199,187,175,130,0
SC,45,"=""29046""",51,0,51,"145,257",9,"8,665",31,"38,640",0,0,0,50,"225,963",0,169,49,0,36,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
SC,45,"=""29047""",438,0,438,"1,171,734",98,"57,170",268,"312,528",0,35,0,425,"1,787,420",0,"9,917",382,0,251,150,285,0,249,166,0,93,28,72,107,75,62,31,40,0,0,0
