"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
TN,47,"=""37010""",279,0,279,"622,521",96,"76,095",163,"228,174",0,0,24,265,"1,169,071",0,"21,326",237,0,96,154,118,0,167,92,0,99,23,40,36,38,25,28,33,25,30,0
TN,47,"=""37011""",87,0,87,"191,077",26,"18,940",46,"61,108",0,0,0,83,"331,152",0,"6,845",75,0,32,58,22,0,48,34,0,24,0,0,0,0,0,0,0,0,0,0
TN,47,"=""37012""",197,0,197,"474,420",43,"33,062",119,"152,121",0,0,0,185,"834,021",0,"8,773",171,0,79,78,117,0,103,74,0,57,27,32,37,31,0,0,0,0,0,0
TN,47,"=""37013""","10,225",314,"10,225","26,212,152","3,120","2,320,472","6,570","8,914,565",804,704,621,"9,814","44,933,207",411,"407,758","8,763",0,"3,119","5,543","4,352",330,"5,676","3,908",0,"2,738",665,"1,352","1,939","1,426","1,226","1,286","1,032",741,536,22
TN,47,"=""37014""",48,0,48,"92,665",9,"12,216",27,"40,637",0,0,0,44,"178,051",0,"6,879",40,0,0,30,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,47,"=""37015""","1,657",0,"1,657","3,877,405",468,"377,527",988,"1,297,569",82,49,84,"1,585","6,733,442",72,"59,110","1,426",0,733,793,851,0,789,734,0,480,171,245,350,203,145,150,155,114,116,0
TN,47,"=""37016""",67,0,67,"159,449",22,"19,868",44,"51,094",0,0,0,64,"292,652",0,"2,507",57,0,25,0,46,0,34,29,0,0,0,0,0,0,0,0,0,0,0,0
TN,47,"=""37018""",195,0,195,"495,516",48,"34,190",128,"156,633",0,0,0,187,"804,763",0,"7,099",171,0,98,80,115,0,95,90,0,51,22,35,41,35,0,0,0,0,0,0
TN,47,"=""37019""",103,0,103,"226,626",31,"21,935",59,"77,025",0,0,0,99,"435,888",0,829,87,0,45,46,55,0,45,49,0,0,0,0,21,0,0,0,0,0,0,0
TN,47,"=""37020""",354,0,354,"794,367",126,"109,764",216,"298,546",0,0,0,340,"1,488,257",0,"19,045",311,0,107,190,163,0,181,146,0,105,35,45,63,33,28,40,31,33,42,0
TN,47,"=""37022""",590,0,590,"1,475,246",162,"127,557",367,"467,277",30,0,0,559,"2,406,862",31,"33,446",508,0,246,255,327,0,314,237,0,193,35,112,125,86,52,61,52,27,36,0
TN,47,"=""37023""",178,0,178,"475,950",48,"39,241",120,"165,948",0,0,0,177,"841,349",0,106,160,0,66,114,60,0,78,88,0,46,0,26,40,22,0,0,0,0,0,0
TN,47,"=""37024""",32,0,32,"71,171",4,"2,501",9,"18,817",0,0,0,29,"86,923",0,"3,325",21,0,0,21,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,47,"=""37025""",614,0,614,"1,543,532",166,"129,279",375,"511,061",21,0,0,581,"2,559,661",33,"31,231",529,0,259,308,301,0,346,222,0,197,45,103,134,75,67,44,58,40,45,0
