"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
TX,48,"=""73949""",27,0,27,"59,111",9,"9,032",14,"18,165",0,0,0,26,"117,593",0,"1,624",23,0,10,8,19,0,12,12,0,7,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75001""",958,33,958,"1,991,522",227,"156,042",485,"643,731",91,80,67,898,"3,590,620",60,"52,713",838,0,410,493,444,21,494,370,0,269,83,149,243,113,111,95,77,60,25,0
TX,48,"=""75002""","3,166",69,"3,166","7,290,664",898,"684,372","1,805","2,432,364",292,285,208,"2,987","12,632,969",179,"238,939","2,682",0,"1,011","1,791","1,332",43,"1,811","1,138",0,"1,020",228,438,593,377,346,338,318,273,242,0
TX,48,"=""75006""","4,394",123,"4,394","10,951,940","1,449","1,053,544","2,724","3,663,329",400,285,180,"4,157","19,039,753",237,"256,427","3,675",0,"1,757","1,644","2,681",69,"2,447","1,688",0,"1,323",251,514,821,647,553,540,456,346,257,0
TX,48,"=""75007""","3,731",89,"3,731","8,954,943","1,095","837,834","2,178","2,884,744",305,287,194,"3,505","14,979,279",225,"276,982","3,100",0,"1,226","1,707","1,963",61,"2,232","1,257",0,"1,293",258,501,728,491,445,395,369,321,211,0
TX,48,"=""75009""",499,0,499,"1,220,910",158,"133,947",313,"452,061",26,32,29,467,"2,091,333",32,"39,060",412,0,178,281,214,0,277,192,0,164,30,82,77,57,50,53,43,59,45,0
TX,48,"=""75010""","1,524",40,"1,524","3,285,488",467,"379,424",791,"961,201",155,128,110,"1,413","5,616,446",111,"119,775","1,267",0,430,744,755,25,969,468,0,546,115,197,253,198,186,165,167,131,109,0
TX,48,"=""75011""",120,0,120,"258,308",38,"30,781",64,"76,008",0,0,0,113,"433,711",0,"4,825",100,0,25,77,42,0,66,46,0,39,0,0,25,0,0,0,0,0,0,0
TX,48,"=""75013""",897,25,897,"1,830,337",228,"186,587",440,"567,966",73,59,71,842,"3,139,653",55,"51,246",741,0,240,489,404,0,560,255,0,350,101,157,156,103,79,80,87,79,53,0
TX,48,"=""75015""",37,0,37,"103,005",9,"7,075",23,"29,535",0,0,0,34,"145,294",0,"4,292",31,0,0,0,26,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75016""",77,0,77,"185,986",9,"11,329",39,"53,868",0,0,0,73,"339,060",0,842,63,0,25,37,37,0,54,21,0,31,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75017""",41,0,41,"86,033",9,"12,396",9,"19,350",0,0,0,37,"147,423",0,445,32,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75019""","1,276",21,"1,276","2,557,398",360,"302,179",633,"813,958",112,119,98,"1,198","4,618,036",78,"92,249","1,057",0,376,697,561,0,733,435,0,436,121,191,238,150,115,119,128,115,92,0
TX,48,"=""75020""","2,343",35,"2,343","5,800,584",652,"468,259","1,423","1,779,049",147,66,79,"2,293","9,853,200",50,"47,768","2,077",0,"1,061","1,257","1,061",25,"1,056","1,045",0,434,207,400,487,326,254,245,165,160,93,0
TX,48,"=""75021""",818,0,818,"2,084,152",192,"135,922",501,"672,755",37,0,28,791,"3,510,237",27,"16,213",693,0,334,416,382,0,395,355,0,174,95,138,162,113,80,86,61,47,35,0
TX,48,"=""75022""",344,0,344,"646,774",74,"57,625",166,"214,560",0,0,28,317,"1,088,468",27,"36,372",275,0,80,192,146,0,217,85,0,139,49,69,72,35,26,25,0,25,21,0
TX,48,"=""75023""","2,863",64,"2,863","6,656,981",770,"597,606","1,567","2,049,453",233,241,161,"2,692","11,058,867",171,"213,363","2,389",0,986,"1,471","1,341",51,"1,670","1,010",0,961,246,403,546,384,322,304,262,214,169,0
TX,48,"=""75024""","1,133",53,"1,133","2,087,893",255,"192,646",496,"599,452",100,86,77,"1,051","3,652,192",82,"79,806",948,0,321,630,484,0,699,315,0,445,122,219,216,136,98,82,117,83,59,0
TX,48,"=""75025""","1,750",43,"1,750","3,673,988",439,"328,080",880,"1,106,274",157,146,149,"1,644","6,225,128",106,"98,570","1,433",0,481,982,736,32,"1,059",554,0,613,206,254,336,201,171,182,152,138,107,0
TX,48,"=""75026""",33,0,33,"43,825",9,"8,001",7,"7,966",0,0,0,29,"89,127",0,"4,402",26,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75027""",0,0,0,"28,008",0,"2,108",0,"7,477",0,0,0,0,"63,644",0,"1,096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75028""","1,240",26,"1,240","2,405,852",336,"284,492",628,"807,913",103,92,91,"1,172","4,328,719",68,"78,343","1,036",0,327,787,443,0,714,395,0,391,137,188,238,129,112,122,106,92,106,0
TX,48,"=""75029""",48,0,48,"93,307",9,"10,581",9,"24,404",0,0,0,41,"168,921",0,"5,141",37,0,0,26,21,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75030""",49,0,49,"97,252",9,"7,694",23,"25,941",0,0,0,44,"182,777",0,"3,635",34,0,0,36,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75032""","1,358",25,"1,358","3,433,082",351,"276,202",822,"1,127,028",97,93,60,"1,280","5,569,258",78,"94,965","1,110",0,494,690,660,0,795,455,0,498,98,207,267,168,152,147,125,100,85,0
TX,48,"=""75033""",851,0,851,"1,949,612",271,"214,322",517,"657,415",76,59,67,801,"3,406,622",50,"49,344",726,0,309,517,327,0,523,270,0,313,65,113,143,114,107,75,84,81,68,0
TX,48,"=""75034""","1,989",53,"1,989","4,640,165",540,"405,293","1,138","1,483,138",201,138,120,"1,866","7,826,144",123,"193,274","1,707",0,703,"1,079",884,26,"1,143",703,0,659,158,300,370,288,229,227,189,132,92,0
TX,48,"=""75035""","1,738",43,"1,738","3,781,343",495,"401,198",961,"1,275,667",165,151,143,"1,613","6,622,561",124,"145,894","1,425",0,458,972,753,0,"1,087",526,0,701,159,247,297,203,173,171,176,164,141,0
TX,48,"=""75038""","3,728",199,"3,728","9,313,822",983,"715,241","2,293","2,950,617",322,361,137,"3,614","16,367,596",113,"103,053","3,416",30,"1,908","1,458","2,234",36,"1,997","1,461",0,992,257,497,740,623,475,432,342,225,130,0
TX,48,"=""75039""",551,29,551,"901,260",126,"104,734",224,"251,132",63,49,47,500,"1,707,388",51,"53,913",460,0,202,283,266,0,327,165,0,204,75,99,127,57,36,42,56,35,23,0
TX,48,"=""75040""","7,094",171,"7,094","19,203,870","2,060","1,502,545","4,513","6,195,998",458,426,248,"6,645","30,819,258",449,"510,864","5,802",29,"2,836","2,758","4,265",71,"4,067","2,673",0,"2,472",412,915,"1,341","1,106",868,878,644,525,388,0
TX,48,"=""75041""","3,678",79,"3,678","10,720,607","1,095","761,289","2,500","3,584,660",181,191,111,"3,556","17,455,959",122,"125,039","3,171",0,"1,726","1,400","2,238",40,"1,898","1,595",0,"1,081",164,443,750,613,497,408,380,239,176,0
TX,48,"=""75042""","4,778",154,"4,778","13,107,794","1,282","896,830","2,990","4,138,678",246,251,129,"4,436","20,220,211",341,"376,225","3,831",0,"1,810","1,570","3,138",70,"2,742","1,788",0,"1,644",273,620,"1,079",764,619,481,396,291,242,0
TX,48,"=""75043""","6,553",137,"6,553","17,265,830","1,854","1,349,999","4,190","5,657,260",615,433,286,"6,306","29,385,888",247,"280,536","5,772",32,"2,950","3,058","3,424",70,"3,518","2,673",0,"1,890",400,885,"1,261","1,017",773,745,641,468,346,0
TX,48,"=""75044""","3,611",86,"3,611","8,483,976","1,006","744,098","2,009","2,600,406",269,246,152,"3,244","13,382,086",366,"405,612","2,742",0,"1,027","1,594","1,978",39,"2,203","1,173",0,"1,394",273,543,717,510,379,389,336,240,214,0
TX,48,"=""75045""",41,0,41,"120,212",9,"7,994",25,"30,742",0,0,0,40,"177,805",0,162,35,0,0,25,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75046""",41,0,41,"79,704",9,"12,972",24,"26,077",0,0,0,38,"149,869",0,"3,585",30,0,0,0,21,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75048""","1,236",23,"1,236","2,824,512",364,"287,900",704,"939,899",103,88,60,"1,105","4,545,652",131,"161,693",970,0,307,606,616,0,801,368,0,542,85,181,222,158,140,124,111,100,110,0
TX,48,"=""75049""",63,0,63,"162,032",9,"8,131",31,"39,251",0,0,0,62,"244,253",0,661,53,0,0,38,25,0,35,21,0,22,0,0,0,0,0,0,0,0,0,0
TX,48,"=""75050""","4,999",113,"4,999","13,952,298","1,472","1,011,440","3,406","4,637,931",326,329,168,"4,856","23,834,784",142,"154,555","4,449",36,"2,685","1,793","3,137",69,"2,860","1,928",0,"1,564",264,670,"1,004",844,627,575,453,333,216,0
TX,48,"=""75051""","5,703",149,"5,703","16,882,027","1,648","1,160,651","4,067","5,691,717",341,319,154,"5,558","28,147,859",145,"144,017","5,072",45,"3,009","1,812","3,795",96,"3,284","2,173",0,"1,737",250,719,"1,212",982,747,597,548,365,267,0
