"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
VA,51,"=""20105""",393,0,393,"708,852",101,"74,565",196,"266,850",25,41,28,358,"1,323,087",35,"47,766",307,0,73,183,191,0,276,87,0,150,40,65,70,45,24,41,34,37,34,0
VA,51,"=""20106""",235,0,235,"508,474",53,"42,978",121,"175,613",0,0,0,218,"837,067",0,"16,555",187,0,82,143,90,0,134,79,0,76,28,36,48,32,23,21,0,0,0,0
VA,51,"=""20108""",123,0,123,"266,992",36,"25,977",67,"86,692",0,0,0,113,"454,146",0,"21,167",96,0,35,61,60,0,64,53,0,34,0,0,26,0,0,0,0,0,0,0
VA,51,"=""20109""","3,696",129,"3,696","9,235,578","1,207","926,371","2,403","3,232,378",264,218,146,"3,517","15,562,891",179,"183,546","3,135",0,"1,005","1,393","2,244",59,"2,052","1,402",0,"1,014",224,498,686,522,421,391,368,317,263,0
VA,51,"=""20110""","3,459",108,"3,459","8,740,583","1,114","830,390","2,204","3,001,279",231,165,116,"3,295","14,564,973",164,"183,545","2,861",0,885,"1,283","2,114",62,"1,929","1,267",0,956,205,500,681,451,403,335,381,262,228,0
VA,51,"=""20111""","2,573",88,"2,573","6,307,953",804,"609,585","1,623","2,261,664",169,131,96,"2,379","10,337,639",193,"212,048","2,049",0,539,884,"1,656",33,"1,568",849,0,890,167,347,464,363,297,268,242,208,197,0
VA,51,"=""20112""",805,21,805,"1,694,087",177,"134,527",435,"559,073",52,59,54,739,"2,859,614",66,"75,071",648,0,201,453,345,0,446,280,0,261,107,131,184,96,60,72,60,45,46,0
VA,51,"=""20115""",261,0,261,"552,894",91,"66,418",139,"191,184",0,0,0,245,"943,358",0,"20,547",208,0,88,138,119,0,133,99,0,73,27,35,53,28,22,29,24,22,21,0
VA,51,"=""20116""",37,0,37,"70,029",9,"6,161",9,"15,191",0,0,0,35,"117,608",0,"1,551",28,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,"=""20117""",76,0,76,"149,017",24,"18,289",33,"40,182",0,0,0,72,"258,170",0,"1,207",62,0,22,44,28,0,40,33,0,0,0,0,0,0,0,0,0,0,0,0
