"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WI,55,"=""53001""",91,0,91,"170,521",21,"17,086",38,"48,115",0,0,0,85,"274,389",0,"4,571",64,0,0,40,51,0,53,29,0,0,0,0,0,0,0,0,0,0,0,0
WI,55,"=""53002""",100,0,100,"206,392",24,"18,951",51,"59,102",0,0,0,96,"368,413",0,"2,568",80,0,32,55,44,0,48,36,0,0,0,0,22,0,0,0,0,0,0,0
WI,55,"=""53004""",142,0,142,"261,964",42,"32,828",71,"98,685",0,0,0,133,"537,972",0,"8,030",113,0,35,68,69,0,75,57,0,28,0,0,22,0,0,21,0,0,0,0
WI,55,"=""53005""",471,0,471,"746,560",106,"90,849",181,"244,794",0,23,56,437,"1,344,833",34,"23,243",332,0,78,260,202,0,273,149,0,113,67,103,92,37,26,39,30,32,40,0
WI,55,"=""53006""",85,0,85,"146,999",34,"30,896",37,"58,574",0,0,0,81,"307,950",0,"3,342",69,0,21,41,43,0,46,32,0,0,0,0,0,0,0,0,0,0,0,0
WI,55,"=""53007""",113,0,113,"216,333",37,"26,997",65,"68,933",0,0,0,108,"419,001",0,"2,348",91,0,39,66,44,0,57,51,0,24,0,21,23,0,0,0,0,0,0,0
WI,55,"=""53010""",335,0,335,"644,715",99,"80,198",159,"222,581",24,0,32,309,"1,188,624",26,"25,813",272,0,75,134,195,0,178,128,0,99,48,47,62,29,33,22,31,30,31,0
WI,55,"=""53011""",114,0,114,"195,968",36,"29,664",49,"53,975",0,0,0,109,"377,457",0,"3,315",90,0,0,52,60,0,59,46,0,32,23,0,0,0,0,0,0,0,0,0
WI,55,"=""53012""",492,0,492,"713,042",104,"91,080",170,"192,966",24,32,56,457,"1,255,756",35,"45,890",353,0,100,276,206,0,278,150,0,120,73,97,115,38,36,29,41,28,34,0
WI,55,"=""53013""",111,0,111,"239,272",40,"26,694",64,"100,560",0,0,0,108,"451,040",0,"1,590",87,0,22,54,56,0,58,41,0,33,0,0,0,0,0,0,0,0,0,0
