"STATE","state_fips","ZIPCODE","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WV,54,"=""24701""","2,242",23,"2,242","5,476,805",424,"306,474","1,284","1,575,766",33,77,70,"2,199","8,984,862",43,"37,698","1,976",0,"1,232","1,086","1,087",69,940,"1,048",0,389,271,425,516,334,208,163,131,99,88,0
WV,54,"=""24712""",120,0,120,"217,742",27,"20,239",50,"62,473",0,0,0,116,"415,679",0,"5,075",91,0,39,71,46,0,50,56,0,0,0,26,26,0,0,0,0,0,0,0
WV,54,"=""24715""",53,0,53,"130,848",9,"13,306",31,"40,365",0,0,0,52,"235,166",0,0,46,0,28,25,28,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24716""",64,0,64,"157,114",9,"10,863",35,"47,285",0,0,0,63,"251,802",0,379,57,0,40,27,34,0,23,34,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24726""",33,0,33,"74,251",4,"2,610",9,"23,353",0,0,0,33,"129,920",0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24731""",57,0,57,"155,037",9,"11,932",35,"42,740",0,0,0,56,"246,619",0,200,50,0,34,21,36,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24733""",110,0,110,"249,948",24,"20,685",64,"80,387",0,0,0,106,"443,192",0,"3,302",103,0,60,57,53,0,54,45,0,24,0,24,0,0,0,0,0,0,0,0
WV,54,"=""24736""",86,0,86,"209,924",21,"14,582",43,"54,413",0,0,0,82,"342,092",0,818,74,0,48,33,53,0,43,38,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24737""",84,0,84,"254,034",21,"13,426",62,"75,964",0,0,0,83,"391,291",0,224,73,0,42,42,41,0,36,40,0,0,0,0,26,0,0,0,0,0,0,0
WV,54,"=""24739""","1,075",0,"1,075","2,577,621",262,"203,443",618,"764,593",0,43,40,"1,051","4,496,645",24,"19,761",941,0,537,547,508,0,441,520,0,183,110,170,218,168,106,85,81,71,63,0
WV,54,"=""24740""","1,911",21,"1,911","4,679,137",414,"300,948","1,144","1,407,742",48,66,67,"1,862","7,909,576",49,"33,954","1,691",0,"1,010",961,921,29,809,930,0,330,221,336,423,294,177,165,113,87,91,0
WV,54,"=""24747""",255,0,255,"685,853",57,"43,930",164,"214,041",0,0,0,250,"1,140,153",0,"10,879",232,0,140,137,115,0,106,120,0,54,22,45,49,37,29,23,0,0,0,0
WV,54,"=""24801""",382,0,382,"950,505",86,"67,237",238,"278,196",0,0,0,377,"1,654,152",0,"2,467",300,0,158,164,164,54,183,172,0,39,41,73,83,55,45,24,28,0,0,0
WV,54,"=""24808""",41,0,41,"82,934",9,"6,135",22,"16,243",0,0,0,41,"139,799",0,0,32,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24811""",52,0,52,"135,103",5,"3,338",28,"41,253",0,0,0,52,"206,877",0,0,43,0,23,25,24,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24813""",38,0,38,"135,806",3,"1,711",29,"45,006",0,0,0,38,"204,320",0,0,32,0,23,21,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24815""",47,0,47,"113,067",9,"7,434",28,"30,606",0,0,0,46,"195,779",0,327,42,0,25,0,28,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24817""",73,0,73,"175,292",9,"12,732",43,"50,716",0,0,0,72,"289,114",0,459,65,0,39,44,28,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24818""",110,0,110,"285,590",21,"15,624",61,"81,578",0,0,0,110,"429,657",0,0,88,0,54,29,60,21,64,39,0,27,0,23,26,0,0,0,0,0,0,0
WV,54,"=""24822""",62,0,62,"132,184",9,"19,052",35,"42,421",0,0,0,61,"255,390",0,"1,374",50,0,21,0,27,22,43,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24823""",41,0,41,"100,620",8,"5,756",28,"32,804",0,0,0,41,"179,876",0,0,38,0,0,0,23,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24827""",104,0,104,"271,542",9,"13,858",60,"76,004",0,0,0,103,"446,866",0,"5,233",86,0,52,25,48,31,67,32,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24828""",69,0,69,"217,603",9,"9,300",47,"64,713",0,0,0,69,"355,683",0,0,54,0,36,22,42,0,32,35,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24831""",23,0,23,"65,412",3,"2,109",9,"19,616",0,0,0,23,"94,829",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24836""",64,0,64,"176,257",9,"9,586",40,"58,347",0,0,0,64,"308,390",0,0,55,0,35,28,23,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24839""",87,0,87,"171,141",9,"10,341",37,"45,631",0,0,0,86,"283,435",0,"3,718",67,0,42,28,43,0,53,25,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24844""",160,0,160,"376,601",37,"29,474",86,"98,806",0,0,0,154,"646,181",0,"3,939",127,0,68,82,64,0,73,78,0,25,0,27,33,26,0,0,0,0,0,0
WV,54,"=""24847""",24,0,24,"60,462",6,"3,926",9,"21,629",0,0,0,24,"98,780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24849""",24,0,24,"47,809",6,"3,816",9,"15,127",0,0,0,24,"82,496",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24850""",90,0,90,"264,531",9,"10,302",62,"73,862",0,0,0,89,"382,321",0,171,81,0,63,40,47,0,44,42,0,32,0,0,36,0,0,0,0,0,0,0
WV,54,"=""24851""",37,0,37,"74,534",9,"12,389",9,"22,312",0,0,0,37,"148,856",0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24853""",104,0,104,"267,721",24,"13,904",61,"69,330",0,0,0,102,"432,232",0,349,87,0,47,36,45,23,69,30,0,0,0,0,0,0,23,0,0,0,0,0
WV,54,"=""24857""",52,0,52,"134,243",6,"3,729",29,"28,960",0,0,0,52,"191,672",0,0,44,0,0,0,24,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24860""",36,0,36,"89,482",5,"3,480",9,"27,999",0,0,0,35,"140,354",0,914,25,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24861""",27,0,27,"52,248",7,"5,116",9,"14,612",0,0,0,27,"96,206",0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24862""",24,0,24,"68,897",4,"2,951",9,"21,215",0,0,0,23,"97,041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,"=""24866""",21,0,21,"38,547",3,"2,104",7,"8,177",0,0,0,9,"63,382",0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
